"0_x","0_y"
0,385.838037,
1,385.1017095,
2,384.5892171,
3,384.9747072,
4,384.6451832,
5,384.6256558,
6,385.0717529,
7,385.3307029,
8,385.1790921,
9,385.9023329,
10,387.1283032,
11,387.4207452,
12,386.9162199,
13,386.8096176,
14,386.7483994,
15,385.8229734,
16,384.4615269,
17,384.2209154,
18,383.308073,
19,381.8683245,
20,380.671933,
21,380.8031475,
22,380.934127,
23,380.0687314,
24,379.8470361,
25,380.7745723,
26,381.3456305,
27,380.9143178,
28,381.3276058,
29,381.9235719,
30,383.0372474,
31,383.1954402,
32,384.0740153,
33,385.7418073,
34,386.6219362,
35,386.3429869,
36,387.0957769,
37,388.0291206,
38,387.4685864,
39,386.1396033,
40,385.690554,
41,384.8702254,
42,383.3606102,
43,382.3105031,
44,382.1173279,
45,380.8582397,
46,379.722227,
47,379.3433068,
48,377.7466855,
49,375.9795723,
50,373.5384023,
51,372.2006623,
52,369.6359225,
53,367.4160205,
54,364.5234684,
55,364.1164579,
56,361.8711025,
57,360.6950032,
58,357.986485,
59,357.6664604,
60,356.198534,
61,354.7564728,
62,353.0715017,
63,353.2747715,
64,352.0238618,
65,350.4887545,
66,350.553344,
67,349.8561684,
68,349.4612939,
69,348.3108213,
70,347.9485152,
71,347.7946075,
72,347.4012692,
73,347.1841117,
74,348.3829755,
75,348.8685251,
76,348.7039602,
77,349.090647,
78,350.2252705,
79,350.6967543,
80,351.0567191,
81,351.937907,
82,352.2473831,
83,351.6112961,
84,352.1971112,
85,352.992794,
86,353.2757276,
87,353.1908291,
88,354.3061071,
89,355.918843,
90,355.8848783,
91,356.2759357,
92,357.0689882,
93,357.5703327,
94,356.5122657,
95,357.3188252,
96,358.6466876,
97,358.3067888,
98,358.5420871,
99,359.3855849,
100,360.2306494,
101,359.6032962,
102,359.950519,
103,361.4766718,
104,362.2274945,
105,362.6078983,
106,364.3319412,
107,366.4259879,
108,366.4829469,
109,366.3728878,
110,366.5637832,
111,365.987981,
112,365.4665105,
113,365.097185,
114,363.9300272,
115,362.7028544,
116,361.5888478,
117,360.1835674,
118,358.6990349,
119,357.8182768,
120,357.949408,
121,357.6492978,
122,357.3374824,
123,357.1959421,
124,358.0269919,
125,358.8321989,
126,358.7737585,
127,359.131507,
128,359.7727198,
129,361.0836905,
130,362.5478182,
131,363.2676176,
132,365.9618898,
133,368.3341375,
134,369.3096558,
135,370.4221288,
136,370.5224155,
137,370.486628,
138,370.2899032,
139,370.0320619,
140,369.3380657,
141,368.2615633,
142,367.4719123,
143,365.8369579,
144,364.5378107,
145,363.4672938,
146,361.3514516,
147,359.9526658,
148,358.5059929,
149,357.8516257,
150,356.3119875,
151,353.8971116,
152,352.7158755,
153,349.9713064,
154,347.8837613,
155,345.7287527,
156,342.764211,
157,339.0293455,
158,338.8797013,
159,336.5384469,
160,333.8876943,
161,329.937429,
162,327.5571196,
163,325.1640395,
164,322.7916257,
165,320.553668,
166,317.8366981,
167,314.236958,
168,309.8732888,
169,308.6653429,
170,305.619161,
171,303.78451,
172,302.0148408,
173,299.5275074,
174,297.3073239,
175,294.0096411,
176,292.328428,
