"0_x","0_y"
0,388.308095,
1,389.1847326,
2,390.6202972,
3,390.7894944,
4,392.0360614,
5,392.2583411,
6,392.82788,
7,393.6319583,
8,394.20422,
9,394.5975912,
10,394.8860442,
11,395.7223275,
12,396.0451394,
13,396.6715345,
14,397.0512766,
15,397.0711844,
16,397.7415282,
17,397.4404105,
18,397.0852383,
19,396.3365362,
20,396.3931541,
21,396.6412029,
22,396.1183898,
23,395.7289519,
24,395.2560217,
25,395.3686563,
26,395.0221899,
27,395.0024564,
28,394.3032391,
29,394.222859,
30,394.6339392,
31,394.8606821,
32,395.1662221,
33,395.2342899,
34,395.1213009,
35,395.9970469,
36,396.1432117,
37,396.4143743,
38,395.8485852,
39,395.8436504,
40,396.3056507,
41,395.9807065,
42,395.5634414,
43,395.2697334,
44,394.6670049,
45,394.2457652,
46,393.7201373,
47,393.3571954,
48,393.2624068,
49,392.7190564,
50,392.3152372,
51,391.7427269,
52,391.4234975,
53,391.1856574,
54,391.0836626,
55,391.6264757,
56,391.885676,
57,391.8401076,
58,391.9998858,
59,392.2128461,
60,392.7711572,
61,393.0007784,
62,393.2289875,
63,393.1877813,
64,393.4015857,
65,393.2308771,
66,393.1827377,
67,393.0973907,
68,393.0992982,
69,393.2722366,
70,393.0973907,
71,393.1787964,
72,393.1140614,
73,393.0991718,
74,392.3599169,
75,391.0762272,
76,389.9633478,
77,388.7249108,
78,388.0605438,
79,386.9187234,
80,385.9623944,
81,384.9506437,
82,384.2191272,
83,382.0964683,
84,380.8791242,
85,378.809345,
86,376.5741538,
87,374.9783192,
88,372.6122902,
89,371.0652234,
90,368.7329859,
91,366.6809875,
92,364.8473092,
93,363.0730439,
94,359.8679497,
95,359.7473291,
96,358.6082981,
97,357.9238163,
98,356.8339819,
99,355.0342422,
100,353.543553,
101,352.3821544,
102,351.3865213,
103,351.667186,
104,350.5625725,
105,350.6205966,
106,350.44834,
107,350.7586011,
108,350.5847124,
109,350.5558481,
110,351.1608081,
111,351.9545175,
112,352.3389292,
113,352.1179073,
114,352.7438228,
115,352.6983617,
116,352.9137674,
117,352.9651825,
118,352.9421996,
119,353.2155678,
120,353.549778,
121,354.1427227,
122,354.4377682,
123,354.7255743,
124,355.7082985,
125,356.2228739,
126,356.0541961,
127,356.215242,
128,356.5063574,
129,356.8017302,
130,356.7295474,
131,356.934413,
132,356.766761,
133,356.4548572,
134,356.2898538,
135,356.086454,
136,356.5590854,
137,357.2202138,
138,357.3134006,
139,357.5937075,
140,358.0717343,
141,358.1142609,
142,358.689319,
143,359.1072892,
144,359.2630892,
145,359.0301275,
146,358.7763523,
147,358.9549562,
148,359.5522224,
149,359.0878781,
150,359.0918428,
151,359.0382427,
152,358.9553987,
153,359.7681557,
154,359.6575458,
155,359.5536592,
156,359.2655638,
157,359.0725993,
158,358.9844924,
159,358.6620452,
160,358.1339969,
161,357.506782,
162,357.4085053,
163,357.7724456,
164,358.0182631,
165,357.9047466,
166,358.0858168,
167,358.1203032,
168,358.8425674,
169,360.4501958,
170,361.1423451,
171,361.1808173,
172,361.7169703,
173,362.1570261,
174,363.3095211,
175,363.2611018,
176,364.0162161,
177,364.709259,
178,365.5703221,
179,367.0921797,
180,368.2720655,
181,369.0276641,
182,370.137198,
183,371.3938817,
184,372.8436921,
185,374.7417259,
186,375.6827177,
187,377.1776753,
188,378.6279411,
189,380.4226382,
190,382.0849897,
191,382.7375682,
192,383.6350069,
193,384.8100029,
194,385.371141,
195,386.2109149,
196,387.4898536,
197,387.9713121,
198,388.8481282,
199,389.7334373,
200,390.2314877,
201,391.4841086,
202,391.5066513,
203,391.7517019,
204,392.2809577,
205,392.2835898,
206,392.8347448,
207,392.9052977,
208,393.1813601,
209,393.4665415,
210,393.7756007,
211,393.8348573,
212,393.8897927,
213,394.440437,
214,394.5139219,
215,394.9053056,
216,395.3179787,
217,395.6288888,
218,395.4230956,
219,395.9859073,
220,395.7976105,
221,395.940058,
222,395.8519173,
223,395.97191,
224,396.2430602,
225,396.5141273,
226,395.8195053,
227,396.1569987,
228,396.1394718,
229,396.4239196,
230,396.6001194,
231,397.1094657,
232,397.5254204,
233,397.700581,
234,397.6345063,
235,397.7311031,
236,397.5264562,
237,397.3736519,
238,397.7127007,
239,397.7507574,
240,397.7847496,
241,397.751793,
242,397.5493153,
243,397.5873558,
244,397.692493,
245,397.4797404,
246,397.5397113,
247,397.6595769,
248,397.8765512,
249,398.1597194,
250,397.7151228,
251,397.7002835,
252,397.5182544,
253,397.2501849,
254,397.0544317,
255,397.059753,
256,396.2245777,
257,395.7902288,
258,395.4909877,
259,395.5754905,
260,395.2528875,
261,395.1514854,
262,394.8537483,
263,394.8082557,
264,394.6133837,
265,393.9958925,
266,393.4127438,
267,392.5021318,
268,391.6443866,
269,390.8501107,
270,390.2062147,
271,389.2365073,
272,387.8174022,
273,386.3781211,
274,385.8973951,
275,385.6957258,
276,384.8577675,
277,383.9581601,
278,383.3864179,
279,382.9678731,
280,382.5532279,
281,381.6694002,
282,381.2240392,
283,381.5411164,
284,381.7003027,
285,381.6853393,
286,381.9655351,
287,382.4801121,
288,382.8369798,
289,383.6162102,
290,384.2566357,
291,384.5776361,
292,384.7227895,
293,384.8966975,
294,385.3366809,
295,385.8254341,
296,385.9561562,
297,386.5757786,
298,386.6268043,
299,386.5234497,
300,386.3470332,
301,386.6635458,
302,386.8672055,
303,387.1345085,
304,387.6999421,
305,386.9176332,
306,386.7876009,
307,386.4516704,
308,386.6596667,
309,386.5000104,
310,386.9115618,
311,386.72235,
312,386.7931563,
313,386.9569779,
314,387.8334436,
315,388.1349981,
316,389.096396,
317,389.6257405,
318,389.9248733,
319,390.7408858,
320,391.3891729,
321,392.013319,
322,391.8847914,
323,391.7921773,
324,391.4648303,
325,391.5199524,
326,391.5415199,
327,390.9865365,
328,390.3103813,
329,388.989027,
330,388.9663935,
331,388.9618051,
332,387.9831462,
333,387.1808636,
334,386.8799689,
335,386.1616882,
336,385.4221406,
337,384.4684463,
338,383.1969753,
339,382.0591586,
340,381.3696659,
341,379.8947291,
342,378.1830044,
343,375.7883501,
344,374.2541939,
345,373.3776956,
346,372.0722322,
347,371.3036128,
348,370.6245869,
349,369.1882,
350,368.470399,
351,368.3483357,
352,367.6720483,
353,367.6777378,
354,367.8844642,
355,368.2915542,
356,368.9647837,
357,368.5676092,
358,369.0607123,
359,369.652521,
360,369.6773138,
361,371.1637029,
362,371.6637505,
363,372.0704757,
364,372.544204,
365,373.4010191,
366,375.6450846,
367,375.5537923,
368,376.3178543,
369,377.2481415,
370,378.2267978,
371,380.1954468,
372,380.4107336,
373,380.986758,
374,381.8852651,
375,383.0954257,
376,384.8659798,
377,385.8042313,
378,386.7254204,
379,387.6316756,
380,389.0434792,
381,389.4471823,
382,389.5532729,
383,390.2898501,
384,390.7309589,
385,391.2030691,
386,391.1935767,
387,391.3908862,
388,391.61226,
389,391.6819108,
390,392.4375781,
391,392.336799,
392,392.4407397,
393,392.7066531,
394,393.3012872,
395,394.1107241,
396,394.5970766,
397,394.7230709,
398,394.4396834,
399,394.9406925,
400,394.4096104,
401,393.3256501,
402,392.7629646,
403,392.4403661,
404,391.561908,
405,390.7773662,
406,389.8193754,
407,389.3044662,
408,388.4765705,
409,387.629347,
410,386.0410243,
411,385.2046924,
412,384.9894266,
413,383.7586841,
414,383.8445106,
415,383.2495342,
416,383.2944358,
417,383.1996292,
418,382.2367305,
419,380.7443962,
420,380.7155972,
421,380.0213278,
422,379.8173825,
423,378.9503056,
424,378.8063029,
425,379.3804707,
426,379.4580409,
427,378.7324199,
428,378.8339964,
429,379.0347888,
430,379.1566244,
431,378.7933205,
432,378.3269261,
433,378.3256811,
434,379.1118104,
435,379.5326541,
436,379.999086,
437,380.6220432,
438,381.1720896,
439,382.9206445,
440,383.4146275,
441,383.6904145,
442,384.5407056,
443,385.2958212,
444,386.835798,
445,387.4214294,
446,388.2209025,
447,389.4360464,
448,390.6290778,
449,391.9448494,
450,392.608547,
451,392.5473747,
452,392.7971619,
453,392.8365528,
454,393.0233578,
455,393.4213276,
456,394.2282332,
457,393.8437559,
458,393.9651103,
459,394.6342235,
460,395.3288397,
461,397.6857162,
462,397.8982666,
463,399.1095957,
464,399.6992859,
