"0_x","0_y"
0,397.9317779,
1,397.2320272,
2,396.2011583,
3,395.0876673,
4,394.3998391,
5,394.4293614,
6,393.7350065,
7,392.8970445,
8,391.3715018,
9,390.7149966,
10,390.5677118,
11,389.8440586,
12,388.5184696,
13,387.7329315,
14,387.0571091,
15,385.7893554,
16,384.3218181,
17,383.7187591,
18,382.6519089,
19,381.3468398,
20,378.7459144,
21,377.6998762,
22,376.8988029,
23,374.9064236,
24,372.4293026,
25,370.1631504,
26,367.9890215,
27,365.9091376,
28,362.9877314,
29,360.7220005,
30,358.2256874,
31,355.9541384,
32,353.3221454,
33,349.4520073,
34,348.0194984,
35,343.8742098,
36,341.0841171,
37,338.306676,
38,336.3344706,
39,334.4483881,
40,331.5466561,
41,329.8527478,
42,328.8006704,
43,327.9151471,
44,327.0980801,
45,326.5205555,
46,326.6863843,
47,327.0588807,
48,326.2872381,
49,326.5340577,
50,325.8072748,
51,326.0175011,
52,326.0542044,
53,327.3494397,
54,327.7652942,
55,328.202536,
56,329.9122432,
57,330.9292952,
58,332.4646029,
59,333.2141419,
60,334.3515308,
61,336.1138938,
62,339.1114299,
63,339.7015884,
64,340.8395717,
65,342.3407237,
66,344.4176694,
67,345.5007525,
68,346.2339164,
69,347.8182341,
70,349.6190222,
71,352.8986065,
72,353.986178,
73,355.5737063,
74,357.7553426,
75,359.8026629,
76,361.4967547,
77,363.4688898,
78,365.1501244,
79,367.5972515,
80,371.0850237,
81,373.2655546,
82,374.4222432,
83,377.646064,
84,380.4740505,
85,383.7680309,
86,386.0925127,
87,388.905412,
88,391.0605588,
89,391.6907848,
90,392.0642146,
91,391.9138471,
92,392.4267836,
93,392.9622943,
94,393.8880001,
95,393.3725289,
96,393.4027845,
97,394.6902622,
98,396.1638264,
99,396.1235935,
100,396.7114832,
101,396.7116277,
102,396.9069129,
103,396.9000015,
104,397.2504939,
105,396.8421954,
106,396.9378126,
107,397.7774311,
108,398.1712173,
109,398.0715087,
110,398.3992648,
111,398.8832804,
112,400.8595472,
113,400.4358916,
114,399.7026741,
115,398.7897294,
116,398.6610253,
117,398.622408,
118,398.2696852,
119,398.1156219,
120,398.2638227,
121,397.7234058,
122,397.2754736,
123,396.932272,
124,396.8324593,
125,396.6444947,
126,396.458685,
127,396.61742,
128,397.5093835,
129,398.1519957,
130,398.4405728,
131,398.5632753,
132,399.234751,
133,399.3599255,
134,399.6006183,
135,399.9708625,
136,399.6595262,
137,400.5382013,
138,400.1190754,
139,400.0537548,
140,399.8743117,
141,399.6236004,
142,399.5962695,
143,399.2805101,
144,398.4597871,
145,397.7535302,
146,397.2934469,
147,396.1396777,
148,395.4061038,
149,393.834802,
150,392.7184368,
151,391.7208576,
152,390.6264134,
153,389.677663,
154,387.9774278,
155,386.7323171,
156,385.5495306,
157,384.4960688,
158,382.744452,
159,380.5374935,
160,379.3072695,
161,376.9873382,
162,374.9198944,
163,373.7583597,
164,373.0533073,
165,369.9912116,
166,368.2292042,
167,365.2116185,
168,363.3197456,
169,360.0698149,
170,357.9772923,
171,355.2606887,
172,353.8759588,
173,351.3428571,
174,349.3123134,
175,346.4775322,
176,345.4791269,
177,343.0533306,
178,341.3923273,
179,339.0014178,
180,337.0134244,
181,334.7211888,
182,333.3861633,
183,330.8008814,
184,329.5779728,
185,327.3379578,
186,326.2271261,
187,323.5040965,
188,322.844471,
189,321.494922,
190,320.8552632,
191,318.0981651,
192,317.968796,
193,317.9722563,
194,317.436415,
195,316.6321872,
196,316.0484489,
197,315.5131665,
198,314.7932333,
199,313.8082501,
200,313.4192562,
201,313.9806031,
202,313.2734525,
203,312.9809491,
204,312.8974568,
205,313.8970632,
206,314.7226151,
207,315.3663096,
208,315.9339754,
209,316.4899983,
210,316.9590475,
211,316.8676328,
212,317.0566578,
213,318.2241913,
214,319.5208287,
215,319.5720652,
216,319.710798,
217,320.6001029,
218,321.4050433,
219,321.2163286,
220,321.1412738,
221,321.6585908,
222,322.9423688,
223,323.3240585,
224,324.2080633,
225,325.0060089,
226,328.1111888,
227,327.9907871,
228,328.3493235,
229,328.8727913,
230,330.3930931,
231,330.7520818,
232,331.4251287,
233,332.0163362,
234,334.5529885,
235,334.83387,
236,335.7681412,
237,336.9857377,
238,339.0633494,
239,339.9378738,
240,340.5458026,
241,341.6923779,
242,343.2855109,
243,343.4768903,
244,343.9792082,
245,344.2509958,
246,345.8606188,
247,346.4893347,
248,346.6388975,
249,347.1306314,
250,348.5020242,
251,348.7735771,
252,348.0489161,
253,348.5836023,
254,349.5450622,
255,348.9929359,
256,347.8055148,
257,347.6937554,
258,348.2850092,
259,348.1727409,
260,347.1585815,
261,347.3858558,
262,348.3120036,
263,347.7709478,
264,347.5621326,
265,347.9654394,
266,348.3303386,
267,348.5574918,
268,348.2638264,
269,349.1615655,
270,349.2612188,
271,349.1297549,
272,349.1329554,
273,350.5965768,
274,350.4849288,
275,350.4684602,
276,350.978359,
277,351.9708724,
278,351.9930235,
279,351.7882564,
280,351.4867729,
281,352.6404904,
282,351.9355901,
283,351.2800476,
284,351.3698218,
285,353.0233553,
286,352.3381858,
287,352.4364053,
288,352.7973028,
289,354.855991,
290,354.5464362,
291,355.465975,
292,355.7679424,
293,357.5192279,
294,358.2800541,
295,358.3262602,
296,358.6294532,
297,360.2663903,
298,359.7148449,
299,358.9089444,
300,358.8305965,
301,359.9831634,
302,359.5149265,
303,359.3678551,
304,358.9158888,
305,359.723129,
306,360.0331366,
307,360.4415225,
308,360.4276798,
309,362.2431186,
310,361.8735732,
311,361.7193329,
312,361.9227162,
313,363.0225808,
314,362.7307312,
315,362.4889223,
316,362.5417523,
317,363.5938677,
318,363.8157454,
319,363.9789413,
320,364.5161094,
321,366.0330881,
322,365.7441706,
323,365.7320239,
324,366.2255913,
325,367.5851306,
326,367.7814995,
327,368.232848,
328,369.1576763,
329,370.2696763,
330,370.4005184,
331,370.7314816,
332,371.4268258,
333,372.6623087,
334,373.0324919,
335,373.2714802,
336,374.5335335,
337,375.7162301,
338,376.155415,
339,376.6725748,
340,377.7943748,
341,379.2432172,
342,380.1397898,
343,380.9922738,
344,382.4311504,
345,383.2260713,
346,383.877641,
347,384.3582731,
348,386.2083794,
349,388.8733009,
350,388.6738506,
351,389.0243235,
352,390.0082601,
353,391.8330537,
354,391.570266,
355,391.5367225,
356,391.6882812,
357,392.1674554,
358,391.7448173,
359,391.4555539,
360,391.1288972,
361,391.2087768,
362,391.668944,
363,391.8003381,
364,391.358638,
365,391.9623308,
366,393.0568725,
367,393.3636662,
368,393.3831341,
369,394.4891738,
370,396.0069387,
371,396.5256073,
372,396.7975542,
373,396.9884934,
374,397.4933304,
375,398.4612216,
376,397.9240613,
377,396.5650084,
378,395.7821646,
379,394.4724082,
380,394.1206971,
381,393.1786593,
382,392.6862964,
383,391.7687978,
384,391.7067911,
385,390.5431346,
386,390.1355478,
387,389.6497095,
388,389.1460671,
389,388.3913251,
390,388.0816335,
391,387.5587926,
392,386.8161605,
393,385.3488074,
394,384.2428548,
395,382.730905,
396,381.9527805,
397,379.9739117,
398,379.1871806,
399,377.7183764,
400,376.8711934,
401,375.0560668,
402,374.5030055,
403,374.8392469,
404,374.2088409,
405,373.689311,
406,372.9725114,
407,373.2559727,
408,372.3873581,
409,371.988273,
410,371.5383125,
411,371.8204928,
412,371.47402,
413,371.1780266,
414,370.3701563,
415,371.0150976,
416,370.9132917,
417,370.7594858,
418,369.4109532,
419,369.3446167,
420,368.8630011,
421,368.6570215,
422,367.320214,
423,367.8988015,
424,368.1880744,
425,368.4617456,
426,368.4954998,
427,368.671581,
428,369.9217716,
429,369.7893488,
430,369.7672753,
431,370.8426981,
432,371.9390631,
433,372.3242003,
434,372.4443428,
435,373.9801806,
436,375.0250402,
437,375.5764463,
438,376.1850796,
439,377.4711307,
440,379.737329,
441,379.9127326,
442,380.337809,
443,381.778462,
444,383.75622,
445,384.4638428,
446,385.700526,
447,387.215305,
448,390.6731322,
449,390.3686892,
450,391.8759516,
451,392.8762309,
452,395.2945171,
453,395.9282839,
