"0_x","0_y"
0,389.1615435,
1,391.0110835,
2,391.0772493,
3,391.6640805,
4,392.1075201,
5,392.0457288,
6,392.9054916,
7,393.0507861,
8,393.5002658,
9,393.6856885,
10,393.5091681,
11,394.7573335,
12,395.0902752,
13,395.8689827,
14,396.2184755,
15,395.6629708,
16,395.9929596,
17,396.3103783,
18,395.9753427,
19,395.7811181,
20,395.6128323,
21,395.2052127,
22,395.2690198,
23,395.4049403,
24,395.4724676,
25,395.4775939,
26,395.5727623,
27,395.6060548,
28,395.5703103,
29,395.5108577,
30,394.7906021,
31,394.3551128,
32,394.7888921,
33,395.1270909,
34,395.0311858,
35,394.596353,
36,394.6127901,
37,394.1135175,
38,393.9774714,
39,394.0024158,
40,393.9048613,
41,393.2090647,
42,393.2441638,
43,393.5655233,
44,393.7541863,
45,394.0555464,
46,394.0991219,
47,394.2400837,
48,394.7676947,
49,394.4382379,
50,394.4712648,
51,394.5913644,
52,394.7299309,
53,394.8073668,
54,394.8399862,
55,394.7268017,
56,394.0656942,
57,394.0549385,
58,393.8091837,
59,394.01427,
60,393.7596058,
61,393.4896828,
62,392.9549785,
63,392.5740126,
64,392.5686726,
65,392.2793808,
66,391.974737,
67,390.8506934,
68,390.7934172,
69,390.5681341,
70,390.5633835,
71,389.9665562,
72,389.5466596,
73,389.5296723,
74,390.0043564,
75,389.6742823,
76,389.4894947,
77,389.5134964,
78,389.7225518,
79,390.1786047,
80,390.0827824,
81,389.6295505,
82,390.8086783,
83,392.1542421,
84,392.2321819,
85,392.8295453,
86,393.7394155,
87,393.8089423,
88,393.8266632,
89,393.876057,
90,393.8887922,
91,393.9839961,
92,394.0739806,
93,394.0358676,
94,393.5874075,
95,393.423837,
96,393.4008842,
97,393.9789022,
98,392.9376306,
99,393.7377481,
100,393.7173146,
101,394.086863,
102,393.6490861,
103,392.6725766,
104,392.3418317,
105,392.7584506,
106,392.6546325,
107,391.6923131,
108,392.2914498,
109,392.7399401,
110,392.9633997,
111,393.3745815,
112,393.5372549,
113,393.8370784,
114,393.9787511,
115,394.5264708,
116,394.3764237,
117,394.5342346,
118,394.9345843,
119,394.364243,
120,393.4190698,
121,393.4794759,
122,393.6064048,
123,393.6471205,
124,393.3587527,
125,393.7995283,
126,394.2307178,
127,394.1805407,
128,395.3222764,
129,393.4303785,
130,393.855765,
131,392.7089801,
132,391.3627891,
133,391.3778034,
134,391.4054443,
135,391.4727722,
136,391.7457266,
137,391.9941918,
138,392.4020554,
139,392.7832398,
140,393.1107574,
141,393.4150072,
142,393.9216119,
143,394.066411,
144,395.2854836,
145,395.4253519,
146,395.1146604,
147,395.7505642,
148,395.6811754,
149,396.126939,
150,395.4978442,
151,395.4066364,
