"0_x","0_y"
0,392.4334723,
1,392.1534054,
2,392.5789909,
3,393.787976,
4,392.642695,
5,392.1666704,
6,392.1806585,
7,393.0259089,
8,393.2539402,
9,391.8642202,
10,391.6611166,
11,392.0860061,
12,392.0276959,
13,391.7059114,
14,391.3411445,
15,392.6466022,
16,392.1933181,
17,391.3281654,
18,390.7077135,
19,392.1406645,
20,391.4397239,
21,390.1804472,
22,390.617286,
23,390.4699903,
24,390.1247554,
25,389.1287391,
26,390.2848148,
27,391.3690208,
28,391.0444844,
29,390.267226,
30,390.9697773,
31,391.9046467,
32,391.227945,
33,390.904648,
34,391.8133398,
35,392.2379293,
36,390.6355792,
37,390.6118324,
38,391.352411,
39,391.7512336,
40,390.9072328,
41,390.4053374,
42,390.5088277,
43,390.8211542,
44,390.5523774,
45,389.6778563,
46,389.3607109,
47,390.3840452,
48,390.2288277,
49,389.4404711,
50,389.6844468,
51,391.008569,
52,391.0844761,
53,390.3995538,
54,390.6109122,
55,391.344352,
56,391.0285999,
57,389.2626876,
58,388.9117129,
59,389.7287665,
60,389.4353578,
61,388.0041224,
62,388.3312655,
63,390.317673,
64,389.8672473,
65,389.1775693,
66,389.6696786,
67,391.8019935,
68,391.5886112,
69,390.537217,
70,390.4443752,
71,391.0689812,
72,390.106353,
73,387.9971728,
74,387.9926063,
75,388.6259384,
76,387.9994113,
77,384.9867627,
78,385.772329,
79,386.028164,
80,384.7151291,
81,383.7674536,
82,384.920839,
83,384.9405535,
84,383.8774697,
85,383.1153145,
86,384.7410908,
87,384.8239603,
88,384.0233721,
89,383.5618201,
90,385.7352421,
91,386.2563693,
92,385.9883191,
93,387.3788822,
94,388.2358778,
95,389.1289269,
96,388.89932,
97,388.5276711,
98,390.1778594,
99,391.0418146,
100,391.1661097,
101,390.230177,
102,390.2550814,
103,392.2686648,
104,391.8438389,
105,390.9692068,
106,391.1924068,
107,391.625847,
108,390.4318749,
109,389.1699982,
110,390.3001713,
111,391.2472558,
112,391.2347515,
113,390.1544963,
114,389.5615525,
115,390.3181554,
116,390.4892585,
117,390.6663211,
118,391.1306633,
119,392.5255397,
120,392.0138575,
121,391.231804,
122,392.866641,
123,393.95844,
124,394.0662512,
125,393.0714532,
126,394.6720884,
127,394.8784005,
128,394.3736912,
129,394.0924598,
130,393.234691,
131,392.7426665,
132,393.0662351,
133,391.8626445,
134,391.0791234,
135,390.3543902,
136,390.1411064,
137,387.8971562,
138,388.265637,
139,388.052365,
140,387.5492456,
141,386.8391816,
142,386.9070445,
143,389.1878019,
144,388.749807,
145,388.56308,
146,389.2931266,
147,390.6286297,
148,393.1038021,
149,393.0615699,
150,392.5558301,
151,392.8302152,
152,394.2654804,
153,394.421172,
154,393.9030307,
155,393.7265791,
156,394.48311,
157,394.3526455,
158,392.8528412,
159,392.9917249,
160,395.1057777,
161,393.8773428,
162,393.1140957,
163,392.3428543,
164,393.3128132,
165,393.109948,
166,391.3377607,
167,391.9585695,
168,393.3535428,
169,393.7300388,
170,392.6928267,
171,394.0068523,
172,395.1524428,
173,394.9440452,
174,394.7239382,
175,395.8012785,
176,397.0489128,
177,396.6131472,
178,396.1672794,
179,397.1799063,
180,396.8431369,
181,396.0133284,
182,396.4274989,
183,397.2307277,
184,396.9506083,
185,396.5385428,
186,395.9166751,
187,396.6251789,
188,396.3596305,
189,394.4470467,
190,393.5180116,
191,393.0445445,
192,392.1128906,
193,390.2982705,
194,387.9753784,
195,387.1569329,
196,387.1940681,
197,384.6388896,
198,384.4723823,
199,384.9822872,
200,385.0306977,
201,383.9805583,
202,384.6652264,
203,386.0114534,
204,385.7539257,
205,385.7196417,
206,386.9788071,
207,389.9703763,
208,390.1256924,
209,391.3834136,
210,392.5515471,
