"0_x","0_y"
0,399.3963534,
1,399.3601196,
2,400.1727902,
3,400.4119382,
4,400.3201654,
5,400.0630663,
6,400.1290149,
7,399.5527658,
8,399.8199855,
9,400.2777133,
10,400.3938528,
11,399.8583575,
12,399.1451056,
13,397.7214693,
14,395.3114662,
15,395.9287908,
16,396.3755379,
17,395.0588477,
18,394.6271945,
19,391.6415763,
20,389.3569947,
21,391.1312307,
22,394.1585875,
23,394.4202962,
24,394.4914851,
25,393.1394321,
26,392.776625,
27,393.5946167,
28,395.0075859,
29,394.6348645,
30,392.630905,
31,392.6410634,
32,394.9634187,
33,397.3860325,
34,397.2972795,
35,395.050268,
36,395.4544843,
37,394.7221693,
38,396.6780729,
39,397.5827449,
40,395.8662307,
41,394.5188252,
42,394.6756665,
43,394.8245265,
44,397.2943422,
45,398.0207233,
46,397.7984085,
47,394.2218948,
48,393.208898,
49,396.411991,
50,398.271735,
51,397.7002336,
52,397.9616713,
53,393.8662857,
54,393.1165807,
55,395.4695581,
56,396.2104953,
57,396.099871,
58,393.2587684,
59,388.3864181,
60,387.857619,
61,390.1583567,
62,389.8902874,
63,390.4987884,
64,388.0958023,
65,386.9040474,
66,388.9303985,
67,390.9624846,
68,390.6558285,
69,389.0889294,
70,387.0109085,
71,386.4088253,
72,387.3625727,
73,387.7784051,
74,385.8112741,
75,383.7311041,
76,381.113308,
77,380.9010154,
78,381.7869199,
79,384.6311724,
80,386.0401166,
81,384.1617729,
82,383.2472669,
83,382.6168043,
84,384.5338855,
85,386.358334,
86,385.7970814,
87,384.2015005,
88,382.6376864,
89,381.8342989,
90,383.2998895,
91,384.2371743,
92,384.9186748,
93,385.0621307,
94,382.8740859,
95,381.6975715,
96,382.9688137,
97,384.5995709,
98,383.6586869,
99,383.1240625,
100,381.2186654,
101,380.2927009,
102,380.9597462,
103,382.3253934,
104,381.415199,
105,379.4586063,
106,377.1916199,
107,375.3483092,
108,376.5615557,
109,378.0467666,
110,376.7388755,
111,373.7238632,
112,371.1358821,
113,370.3220333,
114,370.7941277,
115,370.3294426,
116,370.7038486,
117,367.8028139,
118,365.4421836,
119,364.3991522,
120,365.1034438,
121,368.0621381,
122,368.3493918,
123,366.4285052,
124,365.1663785,
125,364.6005849,
126,362.8171407,
127,363.2577548,
128,365.3547096,
129,365.0524889,
130,362.9815154,
131,361.8455677,
132,360.6207818,
133,361.552364,
134,362.3775173,
135,359.1408947,
136,357.3459184,
137,355.0959491,
138,353.5228544,
139,353.5356371,
140,354.9466126,
141,357.1414556,
142,357.9036199,
143,355.963524,
144,354.7813826,
145,354.5197795,
146,356.2714709,
147,356.8778028,
148,357.4536421,
149,356.0898306,
150,354.93642,
151,352.7880707,
152,354.136744,
153,356.6830911,
154,358.0363643,
155,354.3592669,
156,353.3492544,
157,351.607205,
158,353.1296236,
159,355.3035604,
160,355.8333901,
161,351.83942,
162,350.6972273,
163,351.0849225,
164,351.0864632,
165,352.917327,
166,353.8681635,
167,351.9379782,
168,350.6463866,
169,350.3041506,
170,350.8329796,
171,351.6392134,
172,352.2970664,
173,350.899626,
174,349.7701707,
175,348.8072896,
176,350.1811784,
177,352.9718445,
178,353.8172243,
179,353.8305637,
180,352.9895049,
181,350.8789675,
182,351.8491456,
183,354.2812106,
184,354.8611211,
185,355.7765813,
186,355.093514,
187,353.9048806,
188,355.3092607,
189,356.4276948,
190,356.699311,
191,357.3615733,
192,357.0732855,
193,355.6337036,
194,355.6194144,
195,358.1648486,
196,358.7843059,
197,357.987234,
198,356.3602689,
199,354.635656,
200,354.9270403,
