,name,width,height,length,fps,frame,scale,center_x,center_y,bodyLength0
0,hs1-1,1296.0,972.0,92298.0,25.0,0,818.220630392561,631,501,70.83784299369935
1,hs1-2,1296.0,972.0,92517.0,25.0,0,823.3213224495039,624,509,80.65358020571685
2,hs3-3,1296.0,972.0,96133.0,25.0,0,817.1982623574281,579,488,73.49829930005184
3,hs1-3,1296.0,972.0,92725.0,25.0,0,822.3119845897905,634,498,72.24956747275377
4,hs3-4,1296.0,972.0,96139.0,25.0,0,824.8393783034368,584,526,83.00602387778854
5,hs1-4,1296.0,972.0,92908.0,25.0,0,837.5470136058035,604,541,66.61080993352356
6,hs4-2,1296.0,972.0,123249.0,25.0,0,812.0252459129581,611,483,55.65968020030299
7,hs1-5,1296.0,972.0,93140.0,25.0,0,824.7211650006323,569,485,69.46221994724903
8,hs4-3,1296.0,972.0,123230.0,25.0,0,812.6302972446941,576,478,62.39390995922599
9,hs2-1,1296.0,972.0,93435.0,25.0,0,823.8215826257527,526,538,70.32780389006896
10,hs5-2,1296.0,972.0,95492.0,25.0,0,817.2961519547245,624,486,67.11929677819934
11,hs2-2,1296.0,972.0,91996.0,25.0,0,831.0728006618915,636,534,64.81512169239521
12,hs5-3,1296.0,972.0,96238.0,25.0,0,817.4203325095358,585,500,76.24303246854758
13,hs2-3,1296.0,972.0,93697.0,25.0,0,830.1933509731332,600,563,80.44874144447506
14,hs3-2,1296.0,972.0,96112.0,25.0,0,811.8546667969582,634,517,76.4198926981712
15,hs2-4,1296.0,972.0,93914.0,25.0,0,823.4907406886856,581,527,75.71657678474378
16,hs2-5,1296.0,972.0,94170.0,25.0,0,810.2900715176016,630,520,67.20119046564577
17,hs3-5,1296.0,972.0,96155.0,25.0,0,808.8096191317212,549,485,73.49829930005184
18,hs3-7,1296.0,972.0,96151.0,25.0,0,814.8404751851739,651,532,73.23933369440222
19,hs4-4,1296.0,972.0,100037.0,25.0,0,824.2002183935649,586,510,64.89992295835181
20,hs4-5,1296.0,972.0,123141.0,25.0,0,816.3240778024375,552,493,59.77457653551382
21,hs4-7,1296.0,972.0,123104.0,25.0,0,819.9085314838479,624,529,58.52349955359813
22,hs5-4,1296.0,972.0,96246.0,25.0,0,826.4944040947888,580,506,76.15773105863909
23,hs5-5,1296.0,972.0,96279.0,25.0,0,805.0894360255884,549,523,79.30952023559341
24,hs5-7,1296.0,972.0,96390.0,25.0,0,815.2987182622085,614,516,79.47955712005447
