"0_x","0_y"
0,391.525882,
1,391.5571835,
2,391.466796,
3,391.9120017,
4,391.9921384,
5,391.3939875,
6,391.7747921,
7,392.9774655,
8,392.6558082,
9,392.5637827,
10,392.3321207,
11,391.9056832,
12,392.1299852,
13,392.2583958,
14,392.1257703,
15,392.769852,
16,392.0995212,
17,391.7965074,
18,391.6903584,
19,391.726182,
20,390.8614461,
21,390.4864042,
22,390.1710973,
23,389.4696178,
24,389.4580786,
25,388.5748305,
26,387.8814505,
27,387.8123098,
28,387.6032346,
29,386.7956744,
30,385.9598833,
31,386.209023,
32,385.7149299,
33,385.4121927,
34,385.3435236,
35,385.4134917,
36,385.0381454,
37,385.2523512,
38,385.3881782,
39,385.1695206,
40,384.988515,
41,385.037518,
42,385.5497665,
43,386.0098266,
44,386.1419875,
45,386.4928858,
46,387.2371422,
47,387.9181878,
48,388.5764723,
49,388.464085,
50,388.2427966,
51,388.4399387,
52,389.0162767,
53,389.77739,
54,390.2992525,
55,390.677099,
56,390.8669373,
57,390.7100532,
58,390.4893538,
59,390.31383,
60,389.8514614,
61,389.3000904,
62,388.8386893,
63,388.6198995,
64,388.5758509,
65,388.0598429,
66,387.6092061,
67,386.919802,
68,386.3318439,
69,386.0901409,
70,385.6260553,
71,385.2824813,
72,385.0598745,
73,384.9729808,
74,384.4130678,
75,383.8889383,
76,382.9639488,
77,382.3932675,
78,382.3727071,
79,382.0095521,
80,381.3521857,
81,380.0877641,
82,380.1911771,
83,379.84098,
84,379.6630338,
85,379.7672655,
86,379.8407223,
87,379.3340852,
88,379.1903851,
89,379.040899,
90,378.1816934,
91,377.8501741,
92,378.2682153,
93,378.3122509,
94,378.637825,
95,378.7756209,
96,378.289287,
97,378.7363201,
98,378.9345897,
99,378.6645369,
100,379.1984191,
101,379.0988275,
102,379.7568149,
103,380.6054286,
104,380.4814989,
105,380.7469189,
106,380.7115384,
107,380.9001674,
108,381.4680226,
109,382.2416382,
110,382.5262853,
111,382.3691585,
112,382.9150212,
113,383.4786633,
114,383.5340154,
115,383.55195,
116,383.3220608,
117,382.8726918,
118,382.8250921,
119,383.0148439,
120,382.9588143,
121,382.391435,
122,382.5406742,
123,382.465305,
124,382.465542,
125,382.3884033,
126,381.459081,
127,380.1362586,
128,380.279484,
129,379.8043223,
130,379.3546895,
131,379.0527686,
132,378.9413949,
133,378.5508689,
134,378.412882,
135,378.2431807,
136,377.7671433,
137,377.9386368,
138,377.3843978,
139,377.6933877,
140,378.2702217,
141,378.3307293,
142,378.3422613,
143,378.2684009,
144,378.5860209,
145,378.8864897,
146,378.9855288,
147,379.1310633,
148,379.3899467,
149,379.666431,
150,380.9119399,
151,382.1798515,
152,381.9680304,
153,382.5351554,
154,383.2181083,
155,383.8516389,
156,384.1858496,
157,384.722607,
158,384.8311811,
159,385.5672127,
160,387.0447794,
161,387.2906941,
162,387.1620526,
163,387.5579684,
164,388.1949264,
165,388.4088911,
166,389.1610538,
167,389.186221,
168,389.0812986,
169,389.7999679,
170,390.2714877,
171,390.2878177,
172,390.0598545,
173,389.7493567,
174,389.7203837,
175,390.0932962,
176,390.287719,
177,390.4253548,
178,390.1374523,
179,389.910503,
180,389.7966362,
181,389.8255084,
182,389.315683,
183,389.3076476,
184,389.3922556,
185,388.8930028,
186,389.2957573,
187,389.2480084,
188,389.3414626,
189,389.6164428,
190,389.867666,
191,389.499566,
192,389.2964861,
193,389.0577605,
194,388.6244511,
195,388.5543521,
196,388.4381339,
197,388.1176306,
198,387.9612729,
199,388.0549012,
200,388.1033289,
201,388.7444819,
202,388.8965145,
203,388.241762,
204,388.3460757,
205,387.8829958,
206,388.072399,
207,388.6528585,
208,389.1023795,
209,388.8507422,
210,389.141294,
211,390.0050189,
