,name,width,height,length,fps,frame,scale,center_x,center_y,bodyLength0
0,ns1-1,1296.0,972.0,96528.0,25.0,0,820.2267979040919,531,508,58.42088667591412
1,ns2-3,1296.0,972.0,96258.0,25.0,0,818.7533206039533,656,451,47.01063709417264
2,ns1-2,1296.0,972.0,96551.0,25.0,0,822.0097323024831,617,490,55.90169943749474
3,ns3-1,1296.0,972.0,109159.0,25.0,0,819.9615844660041,573,519,54.589376255824725
4,ns1-3,1296.0,972.0,96562.0,25.0,0,821.4426334200094,618,560,59.53990258641679
5,ns2-4,1296.0,972.0,96301.0,25.0,0,830.0150601043333,611,526,55.44366510251645
6,ns1-4,1296.0,972.0,96758.0,25.0,3000,833.1176387521753,601,578,55.362442142665635
7,ns1-6,1296.0,972.0,101995.0,25.0,0,823.2192903473533,597,557,62.39390995922599
8,ns3-3,1296.0,972.0,109126.0,25.0,0,815.4434376460455,607,499,45.65084884205331
9,ns2-1,1296.0,972.0,96213.0,25.0,0,809.3732142837443,656,463,58.69412236331676
10,ns2-2,1296.0,972.0,96254.0,25.0,0,814.5882395419172,714,514,49.64876634922564
11,ns5-1,1296.0,972.0,107575.0,25.0,0,816.5445486928438,556,473,55.154328932550705
12,ns3-4,1296.0,972.0,109055.0,25.0,0,824.551393182984,579,531,45.880278987817846
13,ns3-5,1296.0,972.0,108931.0,25.0,0,813.3203550877108,562,489,47.43416490252569
14,ns3-7,1296.0,972.0,108892.0,25.0,0,810.8563374605886,646,540,48.662100242385755
15,ns5-2,1296.0,972.0,107537.0,25.0,0,811.8946976055454,615,482,47.80167361086848
16,ns5-3,1296.0,972.0,107468.0,25.0,0,803.801592434352,582,445,52.392747589718944
17,ns5-5,1296.0,972.0,107381.0,25.0,0,822.7375037033379,580,483,48.877397639399746
18,ns5-7,1296.0,972.0,107329.0,25.0,0,818.8192718787217,609,536,50.21951811795888
19,ns4-1,1296.0,972.0,135069.0,25.0,0,814.3273297636522,589,505,47.43416490252569
20,ns4-3,1296.0,972.0,135077.0,25.0,0,811.6212170711162,606,463,51.86520991955976
21,ns4-4,1296.0,972.0,135076.0,25.0,3000,827.1668513667602,616,543,52.839379254491625
22,ns4-5,1296.0,972.0,135041.0,25.0,0,816.8537200747757,622,489,54.230987451824994
23,ns4-7,1296.0,972.0,135066.0,25.0,0,821.9026706368583,631,540,57.77542730261716
24,ns2-5,1296.0,972.0,96224.0,25.0,0,815.7352511691523,594,435,56.43580423808985
