"0_x","0_y"
0,27.14736231,
1,28.34842657,
2,31.36299578,
3,31.56759336,
4,32.21133897,
5,33.66477649,
6,35.83155814,
7,38.63302742,
8,40.7505235,
9,43.27455269,
10,45.99199335,
11,49.03627808,
12,51.96906801,
13,53.83573007,
14,57.15632071,
15,59.09177978,
16,63.68631604,
17,66.19716945,
18,69.50261118,
19,71.92933677,
20,75.62631966,
21,78.64508867,
22,79.52946326,
23,81.15737803,
24,82.89987708,
25,84.90155773,
26,86.29124171,
27,88.82819089,
28,90.36830081,
29,91.04484934,
30,91.757885,
31,92.50628041,
32,93.1900885,
33,94.41591727,
34,95.26746195,
35,95.38795883,
36,96.7363084,
37,97.58943284,
38,98.22237205,
39,99.06249711,
40,100.4600605,
41,101.9439798,
42,102.2388193,
43,102.7536605,
44,103.7875834,
45,104.7111493,
46,106.669361,
47,107.931059,
48,109.631801,
49,111.0607648,
50,113.4944945,
51,115.3827355,
52,118.5190848,
53,121.0461704,
54,122.1266821,
55,123.6785387,
56,125.9332064,
57,128.5550423,
58,131.1628335,
59,133.8979081,
60,136.3480123,
61,140.6335413,
62,143.7198868,
63,146.512798,
64,148.6576571,
65,152.1242932,
66,154.0635718,
67,156.9371341,
68,159.6906591,
69,164.0857785,
70,164.941476,
71,167.9774839,
72,171.361903,
73,176.116718,
74,179.1661222,
75,184.9872019,
76,187.97356,
77,192.439231,
78,195.8708939,
79,199.5142708,
80,202.3039165,
81,206.4725341,
82,210.1140394,
83,213.0522602,
84,215.9267483,
85,219.0370327,
86,222.5461114,
87,226.580686,
88,230.9561944,
89,234.7313215,
90,238.8002467,
91,242.7216725,
92,245.8339729,
93,248.1204264,
94,251.3552412,
95,252.882953,
96,255.2609241,
97,257.4760778,
98,259.8300206,
99,260.4431721,
100,261.9739151,
101,263.3857996,
102,264.5311135,
103,265.7423325,
104,266.3597284,
105,266.7346273,
106,268.1284836,
107,269.3995324,
108,269.8452303,
109,270.3977714,
110,271.0014163,
111,272.5164758,
112,274.039288,
113,276.9410526,
114,278.9642254,
115,280.1386094,
116,280.8702598,
117,281.4837639,
118,282.7599509,
119,283.8426981,
120,284.4989931,
121,283.740316,
122,283.3720792,
123,283.6744834,
124,284.2256569,
125,284.556717,
126,285.0257802,
127,285.5827044,
128,286.2594352,
129,286.9092687,
130,286.8083311,
131,286.5397938,
132,287.6748944,
133,287.6190848,
134,287.0960924,
135,286.8428488,
136,287.2048254,
137,287.3566362,
138,287.5313182,
139,288.0157781,
140,288.8973867,
141,289.4490875,
142,290.2526272,
143,290.6806836,
144,291.5155065,
145,292.4329641,
146,293.1201849,
147,294.7682105,
148,295.8524221,
149,298.2232251,
150,299.9792364,
151,302.0019678,
152,303.1012865,
153,305.0726233,
154,307.6031948,
155,308.9478,
156,311.3547599,
157,313.8168017,
158,314.9683355,
159,317.1796865,
160,319.3964924,
161,323.1387518,
162,324.7578825,
163,327.0703898,
164,328.6106255,
165,330.926031,
166,331.6324074,
167,332.8567498,
168,335.1144131,
169,335.2860086,
170,336.9573024,
171,338.1506635,
172,339.772562,
173,340.8175226,
174,342.3273423,
175,346.4174036,
176,350.5317859,
177,354.7208919,
178,358.8080202,
179,362.1756571,
180,363.8533141,
181,365.3572875,
182,367.1583041,
183,369.8068777,
184,372.3153898,
185,375.0804601,
186,377.7063328,
187,380.8601613,
188,382.7149551,
189,384.3534071,
190,384.7883195,
191,385.341248,
192,386.0122924,
193,386.3453936,
194,386.0687825,
195,386.4500125,
196,386.3981808,
197,386.5626539,
198,386.3577998,
199,387.287511,
200,388.6252851,
201,388.8167424,
202,389.0263814,
203,388.5354875,
204,388.4472813,
205,388.5107993,
206,388.8342614,
207,389.4032146,
208,390.7128993,
209,391.7492446,
210,393.4618421,
211,394.9386798,
212,395.1877192,
213,394.7440993,
214,393.5655796,
215,393.4267333,
216,392.7212071,
217,392.0041273,
218,391.6718998,
219,392.1463488,
220,392.0803798,
221,391.9334123,
222,391.692745,
223,391.4045479,
224,391.2344721,
225,392.2795507,
226,393.6638754,
227,394.9430392,
228,395.4002905,
229,395.4965589,
