,name,width,height,length,fps,frame,scale,center_x,center_y,bodyLength0
0,of10-2,1296.0,972.0,181705.0,25.0,0,817.4136039973888,644,513,22.20360331117452
1,of6-3,1296.0,972.0,93570.0,25.0,0,807.1443489240323,593,451,21.095023109728988
2,of10-3,1296.0,972.0,181706.0,25.0,0,810.2228088618587,650,474,23.769728648009426
3,of6-4,1296.0,972.0,93606.0,25.0,0,817.628277397498,603,512,24.020824298928627
4,of10-4,1296.0,972.0,100042.0,25.0,0,820.4998476538555,617,517,27.294688127912362
5,of6-5,1296.0,972.0,93628.0,25.0,0,811.5201784305798,550,483,22.02271554554524
6,of6-7,1296.0,972.0,93674.0,25.0,0,815.8676363234418,601,527,25.0
7,of10-5,1296.0,972.0,181527.0,25.0,0,810.586207630009,553,485,25.0
8,of7-3,1296.0,972.0,105139.0,25.0,0,805.3154661373393,619,450,26.248809496813376
9,of10-7,1296.0,972.0,181375.0,25.0,0,816.4716774022232,626,532,21.93171219946131
10,of9-3,1296.0,972.0,103633.0,25.0,0,811.2243832627321,584,484,20.12461179749811
11,of9-4,1296.0,972.0,100040.0,25.0,0,823.3522939787075,581,513,23.323807579381203
12,of7-4,1296.0,972.0,100041.0,25.0,0,819.9731702927846,580,510,23.430749027719962
13,of9-5,1296.0,972.0,103561.0,25.0,0,811.0,570,499,20.0
14,of7-5,1296.0,972.0,104762.0,25.0,0,809.0994994436717,549,484,24.020824298928627
15,of9-7,1296.0,972.0,103525.0,25.0,0,814.1252974819048,620,505,21.37755832643195
16,of7-7,1296.0,972.0,104400.0,25.0,0,819.4931360298267,611,513,27.018512172212592
17,of9-8,1296.0,972.0,103520.0,25.0,0,816.3528648813575,580,529,22.02271554554524
18,of7-8,1296.0,972.0,104135.0,25.0,0,817.3010461268235,581,515,24.758836806279895
19,of6-8,1296.0,972.0,93704.0,25.0,0,811.5922621612407,605,526,24.08318915758459
20,of8-3,1296.0,972.0,154376.0,25.0,0,811.3106679934635,620,452,18.110770276274835
21,of8-4,1296.0,972.0,100054.0,25.0,0,821.8235820417908,579,508,21.02379604162864
22,of8-5,1296.0,972.0,154043.0,25.0,0,811.4832099310496,602,509,21.93171219946131
23,of8-7,1296.0,972.0,153400.0,25.0,0,815.6745674593514,617,530,20.808652046684813
24,of8-8,1296.0,972.0,152762.0,25.0,0,814.0300977236652,590,531,21.02379604162864
