"0_x","0_y"
0,387.8528034,
1,387.5133977,
2,386.786076,
3,386.4747553,
4,386.7331185,
5,387.0177709,
6,387.7074741,
7,387.9339436,
8,388.8813088,
9,389.3295723,
10,389.8106368,
11,388.1063862,
12,387.0080785,
13,387.8071582,
14,387.8274264,
15,387.9995669,
16,388.1744812,
17,387.2384401,
18,387.7267235,
19,387.7487417,
20,388.9049491,
21,388.8705465,
22,389.6881353,
23,390.4861075,
24,391.231334,
25,389.8161841,
26,389.2289957,
27,389.8174049,
28,390.3091403,
29,390.2606986,
30,389.374887,
31,387.0734652,
32,385.0795181,
33,384.3453279,
34,383.8556915,
35,382.4505481,
36,380.3246334,
37,380.1919472,
38,379.315767,
39,379.1571055,
40,378.623762,
41,378.3780351,
42,378.713252,
43,378.4053504,
44,379.3583719,
45,379.7841389,
46,379.8044485,
47,379.4726289,
48,380.3352975,
49,381.7646137,
50,381.4220869,
51,381.4405692,
52,381.7383917,
53,382.3321236,
54,382.7218171,
55,382.632357,
56,383.3054476,
57,383.9971922,
58,384.5505756,
59,384.2448484,
60,383.2380588,
61,382.2198463,
62,381.5383145,
63,380.3338426,
64,378.7473878,
65,377.63308,
66,375.92224,
67,373.4612549,
68,371.3779515,
69,369.7606489,
70,367.8502778,
71,365.5156747,
72,364.3235249,
73,362.3032886,
74,360.6262861,
75,359.6567684,
76,358.501218,
77,356.8489009,
78,354.8012853,
79,353.4739774,
80,353.550645,
81,351.9007257,
82,350.4110503,
83,348.9069551,
84,347.8431188,
85,346.4980656,
86,344.1667578,
87,342.4769587,
88,341.1895087,
89,338.5592133,
90,336.4759028,
91,336.0897525,
92,335.3239246,
93,333.5550825,
94,330.9651929,
95,330.0654297,
96,329.163482,
97,327.2520494,
98,325.4510424,
99,323.5077886,
100,321.6036857,
101,319.4842879,
102,318.7159426,
103,317.1906682,
104,313.4806748,
105,309.9904937,
106,308.5685012,
107,305.906252,
108,302.933996,
109,301.041937,
110,298.6467318,
111,295.3250146,
112,293.2535356,
113,292.1468787,
114,290.5380894,
115,287.8432446,
116,284.4399619,
117,283.0284259,
118,281.8648643,
119,279.3203674,
120,276.1361264,
121,273.8282316,
122,271.7542443,
123,268.7701376,
124,266.208992,
125,263.7620649,
126,260.9938407,
127,259.0065704,
128,256.2228084,
129,254.1379927,
130,252.3755278,
131,249.5357867,
132,247.6629944,
133,246.4350068,
134,244.2221249,
135,242.2023742,
136,240.4667086,
137,238.7311569,
138,238.1370764,
139,236.9737701,
140,236.8298757,
141,236.7707721,
142,235.2565267,
143,234.6236494,
144,233.0154748,
145,230.9673775,
146,229.0328046,
147,226.8635703,
148,224.9612825,
149,221.9726247,
150,221.254931,
151,220.0393935,
152,217.7825855,
153,216.4504989,
154,214.4773719,
155,212.4939898,
156,211.0939838,
157,210.3949479,
158,208.6076275,
159,206.9234608,
160,205.2652365,
161,204.0442399,
162,203.5761751,
163,202.8659179,
164,201.5293597,
165,200.7373756,
166,199.718392,
167,198.9864349,
168,198.6117838,
169,198.2081782,
170,197.8357169,
171,197.7450585,
172,196.9775579,
173,196.9849394,
174,197.2235012,
175,196.4900285,
176,195.6233685,
177,194.8365713,
178,194.5108076,
179,194.6237134,
180,193.9720095,
181,194.679501,
182,195.131832,
183,195.562692,
184,195.1437079,
185,195.4355121,
186,195.8086296,
187,196.4612362,
188,196.7273344,
189,197.5739313,
190,198.6986296,
191,199.4958666,
192,199.6914271,
193,200.4843489,
194,201.5721352,
195,201.5344937,
196,201.4348044,
197,201.737314,
198,202.580997,
199,202.0746519,
200,201.9156608,
201,201.5688554,
202,201.137752,
203,200.9317317,
204,201.1146714,
205,201.5567778,
206,201.2520628,
207,200.5429831,
208,200.0647961,
209,199.5419613,
210,199.0469017,
211,198.5559357,
212,198.1578788,
213,197.6810026,
214,197.6289857,
215,196.6336373,
216,194.3744851,
217,192.7121704,
218,191.9711387,
219,191.1709691,
220,190.6815194,
221,190.6441879,
222,190.874114,
223,191.320304,
224,193.0763096,
225,194.3584821,
226,195.8372189,
227,197.0193716,
228,197.4127754,
229,198.5423436,
230,201.4198507,
231,202.717769,
232,204.1516043,
233,206.1579685,
234,207.4565549,
235,208.8644585,
236,210.1714955,
237,212.8668555,
238,214.303021,
239,216.3463838,
240,218.8417773,
241,222.1820785,
242,223.2547687,
243,224.6547545,
244,227.0472241,
245,229.4684336,
246,231.7387845,
247,233.1554619,
248,234.5762512,
249,237.075735,
250,240.3392003,
251,241.8173731,
252,243.0565346,
253,244.8334862,
254,247.4668682,
255,248.9569627,
256,251.3567697,
257,252.733601,
258,254.6083792,
259,255.6901713,
260,256.7091651,
261,257.5931282,
262,258.9681583,
263,260.2511154,
264,261.5555512,
265,263.3412889,
266,264.718228,
267,267.2670934,
268,269.8333248,
269,271.2378942,
270,272.8959284,
271,275.3599452,
272,277.7222311,
273,279.2202323,
274,280.7560948,
275,283.3860012,
276,286.0847344,
277,286.6861649,
278,288.5381908,
279,291.3378459,
280,293.3059536,
281,295.394721,
282,297.4309216,
283,300.1472533,
284,301.77436,
285,303.5976951,
286,305.9506885,
287,308.1746167,
288,309.5520852,
289,311.3680128,
290,313.832756,
291,315.6985768,
292,317.1306308,
293,318.6749072,
294,321.1297145,
295,322.386949,
296,323.5343752,
297,325.0557869,
298,328.0601223,
299,329.2247397,
300,330.1491219,
301,331.7608961,
302,334.2497363,
303,336.2622413,
304,336.8522484,
305,338.3168373,
306,339.8577949,
307,341.1317458,
308,341.762973,
309,342.4024185,
310,343.7632344,
311,344.5996685,
312,346.0673176,
313,346.9826504,
314,347.6733693,
315,347.9708732,
316,347.7667008,
317,347.6995219,
318,348.8417895,
319,349.9877886,
320,350.6141773,
321,351.5041456,
322,352.4347407,
323,353.7120897,
324,355.4639814,
325,355.9055347,
326,357.4169381,
327,359.2721406,
328,360.6217057,
329,361.4073471,
330,361.982929,
331,362.3028331,
332,363.4414701,
333,364.4783501,
334,365.229673,
335,366.6392549,
336,367.2706505,
337,367.4371029,
338,367.2158639,
339,366.8172473,
340,366.2815735,
341,366.0398216,
342,365.9545086,
343,366.3494259,
344,366.6416589,
345,366.6279581,
346,367.0395907,
347,366.6570787,
348,365.4992221,
349,364.4172275,
350,363.5786718,
351,363.1734873,
352,362.4122091,
353,361.8743527,
354,361.6769562,
355,361.2851882,
356,359.4378197,
357,357.8052528,
358,356.0251671,
359,355.2268506,
360,354.8226374,
361,354.4549978,
362,354.2298968,
363,353.9926078,
364,353.9396451,
365,354.242217,
366,354.6306857,
367,355.1709481,
368,356.7412439,
369,358.4759915,
370,359.5381655,
371,361.060202,
372,362.3696335,
373,363.1751438,
374,364.6387915,
375,366.4882001,
376,368.1702999,
377,369.220797,
378,369.9698441,
379,371.1239172,
380,372.200892,
381,373.7027929,
382,373.9288531,
383,374.7749565,
384,375.4431694,
385,376.0396784,
386,376.6836297,
387,377.4459409,
388,377.7687851,
389,377.6342566,
390,377.8506546,
391,376.9588329,
392,376.9201151,
393,377.3850953,
394,377.2646682,
395,377.5637008,
396,376.8007613,
397,377.2384127,
398,377.298069,
399,377.4308739,
400,378.0756742,
401,378.5813059,
402,378.1628805,
403,378.1143249,
404,378.3697664,
405,377.7170697,
406,377.3237786,
407,376.6892108,
408,376.0566505,
409,375.3916395,
410,374.8380899,
411,374.8642917,
412,375.5615828,
413,376.9450709,
414,377.9642312,
415,378.6044416,
416,380.1353201,
417,380.8062907,
418,382.1360724,
419,383.7874555,
420,382.9544562,
421,382.1193753,
422,382.0078831,
423,382.1149401,
424,381.7857641,
425,381.5536692,
426,381.4816373,
427,381.3775142,
428,381.5130082,
429,381.7648124,
430,382.8370706,
431,383.1982258,
432,383.7745449,
433,384.074624,
434,384.2276239,
435,384.0100801,
436,383.6673489,
437,384.172708,
438,383.6558336,
439,383.1338886,
440,383.6179492,
441,383.5826423,
442,384.0570165,
