"0_x","0_y"
0,368.3938307,
1,368.0294117,
2,369.0318525,
3,368.7376736,
4,369.5838261,
5,370.0493277,
6,371.0456335,
7,371.1274364,
8,372.9772719,
9,374.0282419,
10,375.1785086,
11,376.3939956,
12,377.3868186,
13,377.4502821,
14,377.8134466,
15,378.8485151,
16,379.059902,
17,378.7992974,
18,377.7802037,
19,377.0208714,
20,375.6088111,
21,374.9397353,
22,376.4164468,
23,376.4565183,
24,376.7661336,
25,377.6173327,
26,378.603992,
27,379.9086255,
28,379.0547939,
29,379.0599748,
30,379.0057933,
31,379.2205434,
32,376.7752295,
33,375.7063753,
34,375.152352,
35,373.8136481,
36,373.1540245,
37,372.5776788,
38,371.9861359,
39,371.5283674,
40,372.3667653,
41,371.6370261,
42,372.386876,
43,373.1741622,
44,372.7707094,
45,372.9093596,
46,372.7408457,
47,373.5049058,
48,373.8931241,
49,375.3451045,
50,377.04053,
51,377.84844,
52,378.3823913,
53,378.7039907,
54,380.097243,
55,381.1414272,
56,381.9169314,
57,381.9444026,
58,382.6936089,
59,381.8371232,
60,381.3188581,
61,380.6923197,
62,379.7090887,
63,379.168368,
64,378.1310531,
65,377.0472581,
66,375.9081658,
67,376.0037926,
68,376.6080079,
69,376.9453467,
70,377.3161756,
71,377.8646193,
72,379.5773586,
73,380.9051324,
74,381.3550347,
75,380.514532,
76,380.3334702,
77,379.7714068,
78,378.4496936,
79,378.8590664,
80,379.0010739,
81,378.455489,
82,378.1360115,
83,378.0357993,
84,377.7285912,
85,378.1610528,
86,378.5097963,
87,377.8650605,
88,378.2751809,
89,378.1596485,
90,378.7818727,
91,380.5490099,
92,381.0325868,
93,380.627855,
94,379.6663919,
95,380.0849999,
96,379.2856855,
97,378.6146669,
98,378.4256654,
99,377.6777522,
100,374.7556516,
101,375.1708831,
102,373.7815459,
103,373.6847578,
104,372.8969929,
105,372.979231,
106,372.5677479,
107,372.1652846,
108,372.1841367,
109,372.7605288,
110,373.7005033,
111,374.5237145,
112,373.1334135,
113,374.4367494,
114,374.1311705,
115,375.0688681,
116,374.8866521,
117,375.0766922,
118,373.4579509,
119,372.3558229,
120,371.828309,
121,370.9454611,
122,370.2010644,
123,369.830755,
124,367.4762741,
125,367.7733869,
126,366.6020597,
127,365.8257966,
128,364.7071296,
129,364.4883151,
130,364.1374675,
131,364.3217984,
132,364.5603253,
133,365.0590775,
134,364.4400089,
135,363.7860155,
136,363.2374365,
137,361.6658642,
138,362.0835865,
139,361.2673624,
140,359.5323558,
141,359.0023072,
142,358.5266185,
143,357.5777182,
144,355.8615936,
145,355.4262311,
146,354.9690986,
147,353.6030375,
148,352.2053021,
149,350.9242039,
150,350.4195978,
151,349.9473935,
152,350.2511084,
153,350.6861092,
154,351.0712238,
155,351.7075456,
156,352.5827687,
157,353.0948856,
158,353.8814481,
159,354.1333119,
160,354.5365392,
161,355.2296074,
162,354.6861954,
163,354.4898849,
164,355.2425956,
165,355.8530475,
166,356.5873728,
167,357.1157878,
168,356.7877171,
169,356.6049935,
170,355.5552048,
171,355.2948173,
172,354.6875711,
173,353.1797901,
174,353.0512516,
175,352.8524306,
176,352.1416163,
177,351.1647451,
178,351.6381553,
179,351.3954759,
180,351.4981391,
181,352.0047817,
182,352.0162851,
183,351.6995507,
184,352.1389938,
185,352.5388259,
186,354.0761137,
187,356.1470392,
188,356.4145629,
189,356.6712366,
190,356.6916648,
191,357.7733483,
192,357.5267315,
193,358.210132,
194,358.3641206,
195,357.9875226,
196,356.9692758,
197,358.0722381,
198,357.7822164,
199,357.7552958,
200,356.9896048,
201,356.0668977,
202,353.9781038,
203,353.1840756,
204,354.4681298,
205,353.4355491,
206,350.8308472,
207,348.9262598,
208,348.4573001,
209,347.8210835,
210,346.703929,
211,346.8983157,
212,347.1355353,
213,346.5064268,
214,346.429332,
215,346.9441965,
216,347.8139559,
217,348.0232657,
218,348.5689515,
219,348.8880699,
