"0_x","0_y"
0,128.8788247,
1,131.6494787,
2,134.6392107,
3,137.9376334,
4,141.6422944,
5,143.802625,
6,147.286754,
7,149.0363078,
8,152.7914148,
9,155.3820058,
10,159.0152736,
11,160.299216,
12,163.3727743,
13,166.7043082,
14,168.7590629,
15,173.1683025,
16,174.1782357,
17,178.6263835,
18,180.6918729,
19,184.0778469,
20,186.7453274,
21,191.4186224,
22,193.4571304,
23,197.0144411,
24,199.0159684,
25,202.1536722,
26,205.1477108,
27,207.7638287,
28,212.1135485,
29,214.1229018,
30,217.5205609,
31,219.7975892,
32,223.2366699,
33,225.7901736,
34,229.7591505,
35,231.7804756,
36,235.3145139,
37,237.9756066,
38,241.0135385,
39,243.9338146,
40,246.5780523,
41,249.9463897,
42,252.1046921,
43,256.2905939,
44,257.252153,
45,261.5774451,
46,262.8248712,
47,265.7150638,
48,267.9042506,
49,269.7597031,
50,272.1015283,
51,275.606858,
52,278.7234952,
53,280.3216675,
54,281.8741434,
55,285.2367386,
56,287.4881294,
57,289.3932517,
58,293.5639244,
59,295.8891622,
60,299.1427385,
61,301.8786354,
62,303.8231753,
63,305.7917007,
64,308.2263151,
65,310.4635052,
66,311.6193076,
67,314.0155807,
68,315.6864758,
69,317.4176171,
70,319.6891676,
71,321.2996799,
72,323.5073168,
73,325.5918599,
74,327.7742644,
75,329.5285662,
76,331.3641204,
77,333.13182,
78,335.044721,
79,336.9043308,
80,339.0883585,
81,340.946746,
82,341.6717523,
83,343.0878203,
84,344.1902171,
85,345.3474687,
86,347.1550338,
87,348.633533,
88,351.9819319,
89,355.1794917,
90,357.9321655,
91,360.3453175,
92,362.6268283,
93,367.2973981,
94,369.2587752,
95,372.4903738,
96,375.049021,
97,377.8424038,
98,382.2298502,
99,384.4602009,
100,388.8089341,
101,390.4202832,
102,391.2980064,
103,393.7294819,
104,391.8572327,
105,389.9505588,
106,388.9087205,
107,387.0037972,
108,385.020438,
109,383.53005,
110,382.584319,
111,381.4522805,
112,379.2050081,
113,378.3198744,
114,377.4867197,
115,376.6980318,
116,376.0056799,
117,375.466416,
118,374.2217821,
119,372.9778437,
120,372.707915,
121,371.9311725,
122,371.5799588,
123,371.0143537,
124,369.8505023,
125,369.8257412,
126,369.1059552,
127,368.2488531,
128,367.7084383,
129,366.2109789,
130,365.8553781,
131,364.4525836,
132,363.7163241,
133,362.2423309,
134,361.1470626,
135,359.9650404,
136,358.7183168,
137,358.2579143,
138,357.1730568,
139,356.8234266,
140,355.6039628,
141,354.8558483,
142,354.8483006,
143,353.260047,
144,352.8948541,
145,351.2389222,
146,350.6173323,
147,349.0881845,
148,348.5079798,
149,346.3863525,
150,344.9382888,
151,342.9091518,
152,341.7389988,
153,339.3775018,
154,338.4965682,
155,336.8170808,
156,335.1220288,
157,333.2920292,
158,330.5086946,
159,328.9351248,
160,326.4553044,
161,325.1575989,
162,321.8495861,
163,319.7261495,
164,317.5670271,
165,315.8929912,
166,313.5262877,
167,311.0368802,
168,309.640122,
169,307.7182121,
170,306.1725017,
171,303.3885626,
172,301.9595536,
173,299.5993393,
174,297.9697061,
175,295.2485394,
176,292.9247833,
177,291.1742676,
178,288.3146307,
179,286.944733,
180,284.7336554,
181,283.3248926,
182,280.9230522,
183,279.0935528,
184,277.1055439,
185,274.9339609,
186,273.2585922,
187,272.0408317,
188,269.6236632,
189,267.5145839,
190,266.6446997,
191,264.3822289,
192,262.8862333,
193,260.581794,
194,259.047409,
195,256.2342744,
196,254.4464541,
197,252.5261277,
198,250.4997387,
199,249.1730612,
200,247.8019963,
201,246.5278077,
202,244.4061697,
203,242.8965194,
204,241.3208993,
205,239.912914,
206,237.845669,
207,236.4300407,
208,235.7163357,
209,233.7624834,
210,232.9119488,
211,231.1295703,
212,230.8774849,
213,229.7764076,
214,228.5215814,
215,228.1399499,
216,226.2146096,
217,225.5432789,
218,224.8037783,
219,224.4176041,
220,223.7790369,
221,222.7461221,
222,222.5913793,
223,221.857924,
224,221.4426985,
225,220.6880073,
226,220.2109032,
227,219.2527972,
228,219.1302321,
229,217.8092248,
230,216.9467258,
231,216.6317945,
232,215.9206376,
233,214.8888064,
234,214.4170918,
235,214.4991828,
236,214.1745753,
237,214.4544539,
238,214.2821574,
239,214.1637616,
240,214.7364324,
241,215.1807808,
242,215.5919621,
243,215.6045103,
244,216.2762839,
245,217.1427144,
246,217.7845174,
247,218.0816419,
248,218.0818833,
249,218.0081345,
250,218.4708483,
251,218.0714343,
252,218.1436976,
253,217.8048449,
254,217.5018475,
255,217.5746712,
256,216.8231233,
257,216.249439,
258,214.9486481,
259,214.4157889,
260,213.3923758,
261,213.0586457,
262,211.6796853,
263,210.9496926,
264,210.329571,
265,209.506371,
266,208.6086048,
267,207.5638585,
268,207.5784655,
269,206.4532165,
270,205.576528,
271,204.3984103,
272,203.8553878,
273,202.7862717,
274,201.9422283,
275,200.4800116,
276,199.8352314,
277,199.8305784,
278,198.5632821,
279,198.0659748,
280,196.8882275,
281,196.9624617,
282,195.9380245,
283,195.2374438,
284,193.9466208,
285,193.4989835,
286,192.8084137,
287,192.0566303,
288,190.727273,
289,189.8386529,
290,189.5612995,
291,187.6266726,
292,186.9736219,
293,185.0285317,
294,184.5476217,
295,183.6513815,
296,182.8874505,
297,181.8218914,
298,181.7353999,
299,181.6078081,
300,181.6543726,
301,180.5280155,
302,179.7223289,
303,179.6796569,
304,179.450785,
305,178.8131321,
306,178.765822,
307,179.4227345,
308,179.8473028,
309,180.1112658,
310,180.2421762,
311,180.6236489,
312,180.9534708,
313,180.9121357,
314,181.1629705,
315,181.2725632,
316,182.2767378,
317,182.4127188,
318,182.3451122,
319,182.7618167,
320,183.8632372,
321,184.461348,
322,184.9612347,
323,185.892731,
324,186.8481153,
325,187.7850223,
326,188.5436747,
327,189.31343,
328,190.3872399,
329,191.8874121,
330,191.9706066,
331,193.3018702,
332,193.7402282,
333,194.4518932,
334,195.1799871,
335,196.2619832,
336,196.311994,
337,197.7504613,
338,198.2319572,
339,198.7293826,
340,198.512149,
341,198.4691089,
342,198.8237901,
343,199.0735075,
344,198.6441985,
345,199.110539,
346,199.6359075,
347,200.1692787,
348,200.6669437,
349,201.1544216,
350,201.7081703,
351,203.1039756,
352,203.4798135,
353,204.350277,
354,204.7064742,
355,205.7516605,
