"0_x","0_y"
0,386.3809343,
1,386.8244363,
2,387.5976751,
3,388.5842057,
4,389.3895293,
5,390.3992868,
6,391.7556851,
7,391.8362572,
8,392.60383,
9,392.8373497,
10,393.4363638,
11,393.4477593,
12,393.5052153,
13,393.8014884,
14,393.6567559,
15,393.1889496,
16,393.5692168,
17,393.5956929,
18,393.1827871,
19,393.4399191,
20,393.1222053,
21,393.2210006,
22,393.0711917,
23,393.1751397,
24,392.7788139,
25,392.425937,
26,392.6482172,
27,392.1600264,
28,391.4916004,
29,390.6891682,
30,390.7194457,
31,390.7624075,
32,390.5515243,
33,391.194613,
34,391.046127,
35,391.4741136,
36,392.2573453,
37,392.4035984,
38,392.6890527,
39,392.7239829,
40,393.3659681,
41,394.3179394,
42,394.6256467,
43,395.1169565,
44,395.328011,
45,396.0384526,
46,396.4516845,
47,396.3545749,
48,397.1032965,
49,397.4394953,
50,397.3339892,
51,397.3553492,
52,397.2254682,
53,397.5489213,
54,397.5307714,
55,397.7456177,
56,397.8890515,
57,398.6818195,
58,398.92548,
59,399.126334,
60,398.5064118,
61,398.061451,
62,398.5473873,
63,398.4263172,
64,397.7529495,
65,397.0788497,
66,397.5977332,
67,397.6723596,
68,397.7647713,
69,397.2694843,
70,396.8864687,
71,397.4486286,
72,397.2653974,
73,397.5376217,
74,397.8200831,
75,398.9495856,
76,398.8465921,
77,398.8717116,
78,398.7729657,
79,398.1938988,
80,397.9435232,
81,397.3931534,
82,397.2711654,
83,396.352825,
84,395.770382,
85,395.5179588,
86,394.2271133,
87,394.3354721,
88,392.7770284,
89,392.2491122,
90,391.54499,
91,390.4452774,
92,389.3036346,
93,387.4797057,
94,386.8081302,
95,385.5475248,
96,384.8324479,
97,383.677313,
98,382.9619036,
99,382.4331187,
100,381.309139,
101,380.9104135,
102,380.6068583,
103,380.2422739,
104,380.3150919,
105,379.239325,
106,379.1672721,
107,378.266137,
108,378.6142013,
109,378.5545406,
110,378.6049406,
111,378.9184335,
112,378.9288669,
113,379.1944145,
114,379.0295057,
115,379.1724265,
116,378.9370358,
117,379.310811,
118,379.3575081,
119,379.5987462,
120,380.1832072,
121,380.769721,
122,381.6840603,
123,382.7176669,
124,383.9231195,
125,385.0152274,
126,385.87844,
127,387.8091262,
128,388.8414099,
129,389.3511856,
130,390.0642192,
131,390.6734817,
132,390.9079425,
133,390.9805455,
134,391.4956112,
135,391.042377,
136,392.141044,
137,393.362099,
138,394.5043294,
139,395.133329,
140,395.2911546,
141,396.6341282,
142,398.2095636,
143,398.3518257,
144,398.7079375,
145,399.6178344,
146,399.6103672,
147,400.1857957,
148,400.7081282,
149,400.7123135,
150,400.8111196,
151,400.3129488,
152,400.2323511,
153,399.8470101,
154,400.0968389,
155,399.1996008,
156,398.5106784,
157,398.5087799,
158,397.683579,
159,397.4101941,
160,396.6892699,
161,397.0807867,
162,396.9672638,
163,396.9269503,
164,396.327512,
165,395.9188628,
166,396.0243668,
167,396.087619,
168,395.6781905,
169,395.0405244,
170,395.8383171,
171,395.4215758,
172,395.3867521,
173,394.1541665,
174,394.3227683,
175,394.4795103,
176,393.8520779,
177,392.6330005,
178,392.4535666,
179,393.559119,
180,393.4190935,
181,392.7274442,
182,392.3132569,
183,393.6196874,
184,394.4102777,
185,394.7325857,
186,394.9555734,
187,395.9611086,
188,397.7066235,
189,398.1196978,
190,397.4871906,
191,398.3461522,
192,399.3450066,
193,400.1776882,
194,400.4705222,
195,399.8884052,
196,400.4276397,
197,400.1480573,
198,400.4093925,
199,400.0871638,
200,399.9699505,
201,399.9960679,
202,399.9457453,
203,399.6204281,
204,399.6855421,
205,399.8730019,
206,399.6288514,
207,399.2835499,
208,399.9409292,
209,399.8831525,
210,399.4152943,
211,398.9471342,
212,397.5350332,
213,397.5886719,
214,396.6148685,
215,395.8724909,
216,393.9513688,
217,392.6977898,
218,391.531887,
219,390.4286086,
220,387.8826367,
221,387.978901,
222,387.319294,
223,386.5353289,
224,385.7476713,
225,384.5229741,
226,384.246167,
227,383.937482,
228,383.9948826,
229,383.7728107,
230,384.2427424,
231,384.00325,
232,383.2719827,
233,382.0276126,
234,381.6693587,
235,380.6543642,
236,380.285842,
237,378.5572212,
238,377.2499449,
239,376.2516786,
240,375.8664013,
241,373.283951,
242,371.4371155,
243,369.9565877,
244,369.4891383,
245,366.9638977,
246,365.9413183,
247,364.6233731,
248,363.0715602,
249,361.5612473,
250,359.1059857,
251,358.5376034,
252,356.7475585,
