"0_x","0_y"
0,388.16967,
1,388.1471594,
2,388.5490349,
3,390.0722779,
4,390.2493873,
5,390.3203032,
6,390.7794235,
7,391.5283668,
8,391.8892119,
9,391.4889855,
10,390.9043002,
11,390.4638741,
12,389.7104645,
13,388.7531411,
14,387.7912978,
15,385.140905,
16,385.268515,
17,384.6816138,
18,383.8123827,
19,382.6524131,
20,381.6742649,
21,381.9289886,
22,382.0827274,
23,381.2663243,
24,379.4820696,
25,379.7236921,
26,380.2410907,
27,378.7870626,
28,377.7266265,
29,377.6616118,
30,377.9055303,
31,377.9490696,
32,377.6997229,
33,377.4269679,
34,378.270591,
35,379.4994936,
36,379.5243517,
37,379.2338921,
38,380.3469809,
39,382.4240858,
40,382.3600251,
41,382.3214425,
42,383.1141753,
43,384.2316829,
44,386.1831243,
45,386.1206127,
46,386.5571311,
47,387.9154657,
48,390.8448504,
49,390.7519224,
50,391.7649012,
51,392.5014071,
52,393.7474664,
53,394.4703673,
54,394.3040952,
55,394.4081514,
56,394.7886028,
57,395.3308205,
58,397.2215829,
59,397.3408373,
60,397.336333,
61,397.767422,
62,398.497642,
63,398.6789239,
64,399.6343018,
65,399.6787245,
66,399.423827,
67,399.9180021,
68,400.8850626,
69,401.7019743,
70,401.4714372,
71,401.835495,
72,401.465642,
73,401.7591221,
74,402.101235,
75,402.0964365,
76,401.8513866,
77,401.7299704,
78,402.001013,
79,401.7860086,
80,401.2707994,
81,400.8734708,
82,400.8227712,
83,400.9253253,
84,401.1165488,
85,401.5419434,
86,401.3920392,
87,401.3819911,
88,401.5747071,
89,402.1060465,
90,402.1060396,
91,401.5695705,
92,400.9031994,
93,401.0177175,
94,401.4994453,
95,401.6564393,
96,401.534665,
97,401.1526728,
98,401.4643601,
99,401.9719128,
100,402.6697224,
101,403.1164366,
102,403.1050563,
103,403.0816012,
104,403.3986613,
105,404.1361967,
106,404.7003422,
107,404.1682391,
108,403.3528564,
109,402.5612594,
110,403.183367,
111,402.8933901,
112,403.0554467,
113,402.882468,
114,402.2888526,
115,402.6208347,
116,402.4793824,
117,402.8718204,
118,402.9394879,
119,402.782599,
120,402.5377376,
121,402.789129,
122,403.1069342,
123,402.9528564,
124,402.7762924,
125,402.7212147,
126,403.00346,
127,403.2841796,
128,402.9048842,
129,402.6818019,
130,401.9592628,
131,401.6478366,
132,401.723086,
133,401.4741086,
134,399.6788181,
135,399.5576877,
136,400.3374092,
137,399.4192318,
138,399.1892115,
139,399.3627044,
140,400.8172129,
141,401.9429825,
142,402.5585304,
143,402.875317,
144,403.4788388,
145,405.8007209,
146,405.356483,
147,405.7520603,
148,405.8298993,
149,406.6257568,
150,407.2417112,
151,407.2274284,
152,406.7760855,
153,406.3225677,
154,406.6738209,
155,406.8589427,
156,406.8144779,
157,406.4271931,
158,406.0956173,
159,405.9868232,
160,405.8965076,
161,405.4039881,
162,404.5181122,
163,404.4000059,
164,405.2506784,
165,405.0111654,
166,405.0133975,
167,404.3943741,
168,404.735792,
169,406.5381985,
