"0_x","0_y"
0,388.1447524,
1,388.2899645,
2,388.1160242,
3,387.6962662,
4,387.4641277,
5,386.7551385,
6,386.8197357,
7,386.6882194,
8,386.3801262,
9,385.8413551,
10,385.7640874,
11,385.6989471,
12,385.3045614,
13,384.5187349,
14,384.9988261,
15,384.2522567,
16,383.6335137,
17,383.6273989,
18,384.4679556,
19,383.7411858,
20,382.53971,
21,382.4195504,
22,382.161732,
23,380.2113423,
24,380.3319961,
25,380.8527949,
26,380.3390374,
27,379.6465033,
28,380.4516144,
29,380.184468,
30,378.7699056,
31,379.2948969,
32,379.5834616,
33,379.2290484,
34,379.1654249,
35,380.3363289,
36,380.2565493,
37,379.4259585,
38,380.4319915,
39,380.1176782,
40,379.9045326,
41,380.922641,
42,381.8164711,
43,381.5441905,
44,382.7845304,
45,385.704434,
46,386.2961242,
47,386.2751369,
48,388.3407733,
49,388.1038455,
50,387.5490203,
51,387.7878932,
52,387.8822169,
53,387.7102634,
54,386.4430439,
55,386.8070022,
56,386.4076543,
57,385.31654,
58,386.2695143,
59,386.8968164,
60,386.5967645,
61,386.831722,
62,388.4364575,
63,388.5849448,
64,387.7880586,
65,387.9241441,
66,388.2596133,
67,387.8299725,
68,387.2811436,
69,388.0368977,
70,387.9577799,
71,386.7549012,
72,387.527853,
73,388.192286,
74,387.7438074,
75,387.9467473,
76,389.2226771,
77,388.8487434,
78,387.8438679,
79,388.0175835,
80,388.4024616,
81,387.6644267,
82,386.2269026,
83,386.0777691,
84,385.3809975,
85,384.799668,
86,383.6114997,
87,384.759112,
88,384.5691282,
89,382.9982051,
90,383.564225,
91,383.7295791,
92,382.966067,
93,383.6989214,
94,383.4649265,
95,383.6115922,
96,382.728003,
97,383.9963555,
98,383.744488,
99,382.8029282,
100,383.2160564,
101,383.0828508,
102,382.6697629,
103,382.8845976,
104,384.4953467,
105,384.0139263,
106,384.0218243,
107,386.4061901,
108,386.1005788,
109,385.9424208,
110,386.6614703,
111,387.8322025,
112,387.8833288,
113,387.7911941,
114,389.5197648,
115,390.2443726,
116,390.5357265,
117,393.3786942,
118,393.9239703,
119,393.8849098,
120,394.1385711,
121,395.6028106,
122,395.8422691,
123,395.9158042,
124,396.9206575,
125,397.429668,
126,397.2230687,
127,396.8207828,
128,398.6218963,
129,398.8433821,
130,398.322761,
131,397.650703,
132,396.5341616,
133,396.1708364,
134,394.2462872,
135,393.3889027,
136,392.8690309,
137,392.3746349,
138,390.117426,
139,390.5658372,
140,390.4974296,
141,389.8070204,
142,389.9477898,
143,390.840448,
144,390.6472745,
145,390.7033654,
