"0_x","0_y"
0,398.9032645,
1,399.3603787,
2,399.1002725,
3,398.5297411,
4,398.8541805,
5,399.2690768,
6,399.285942,
7,398.5896992,
8,399.4264543,
9,400.1962319,
10,399.6723726,
11,398.8959017,
12,398.5399775,
13,398.8918832,
14,398.5378893,
15,398.554713,
16,398.7027186,
17,398.7588405,
18,398.8092515,
19,397.8972375,
20,397.2564363,
21,396.9667091,
22,396.4587549,
23,396.6938984,
24,396.6451177,
25,397.5199513,
26,397.8218733,
27,398.1981694,
28,397.9044454,
29,398.5665135,
30,398.7135791,
31,398.9912151,
32,398.704323,
33,398.9089895,
34,399.2850106,
35,398.4879515,
36,397.5495779,
37,397.3001473,
38,397.2987749,
39,396.1848079,
40,395.4108502,
41,395.2111861,
42,394.7113359,
43,394.0589605,
44,393.1365954,
45,392.8701286,
46,392.1273466,
47,390.2224161,
48,389.9226774,
49,390.0351155,
50,389.6229361,
51,389.1766198,
52,388.856035,
53,388.1087864,
54,388.8518455,
55,389.2186106,
56,389.1255251,
57,388.0393721,
58,388.7881544,
59,389.3433395,
60,388.5920756,
61,389.1510962,
62,390.9374208,
63,391.7675457,
64,390.6306054,
65,390.5198146,
66,390.6959357,
67,390.3509942,
68,389.6258689,
69,389.695352,
70,389.8655021,
71,388.8210584,
72,390.5458349,
73,391.280249,
74,391.1778456,
75,390.5251452,
76,391.124774,
77,390.8910621,
78,388.9530024,
79,388.2887667,
80,388.7844328,
81,388.842834,
82,386.7185092,
83,385.8070771,
84,385.1342249,
85,382.7862902,
86,381.3903584,
87,380.6219176,
88,379.3137189,
89,377.1418694,
90,376.2945165,
91,376.4881522,
92,375.8059289,
93,373.812037,
94,373.2751928,
95,372.8600326,
96,371.5437913,
97,368.7902482,
98,368.0701789,
99,366.3186692,
100,364.9411617,
101,364.1869422,
102,363.337008,
103,364.2791362,
104,364.8542332,
105,365.7735323,
106,366.9922793,
107,368.8896784,
108,371.7902795,
109,373.1235532,
110,375.0654524,
111,377.5935233,
112,380.6832731,
113,382.3431767,
114,382.8059258,
115,382.997875,
116,383.6729725,
117,384.6580413,
118,384.1766357,
119,384.310045,
120,384.1399263,
121,383.9570927,
122,383.4998352,
123,383.0399639,
124,381.9420088,
125,380.7135567,
126,378.6508818,
127,376.8826514,
128,375.1416599,
129,373.3190394,
130,370.8158567,
131,368.9974603,
132,367.3821398,
133,366.2294046,
134,363.5064086,
135,362.7515302,
136,361.3550994,
137,360.1108209,
138,357.9362413,
139,357.0477712,
140,355.2688181,
141,353.1650899,
142,350.1769632,
143,348.2668352,
144,345.020245,
145,342.786953,
146,340.0589033,
147,336.2329289,
148,332.8504205,
149,330.2526208,
150,325.6759731,
151,321.8517619,
152,320.1535921,
153,316.9548573,
154,312.9871564,
155,309.7308993,
156,307.0317539,
157,302.4267732,
158,300.2949367,
159,295.8774971,
160,293.637884,
161,291.7216768,
162,288.2802033,
163,287.2164281,
164,282.669388,
165,279.1359447,
166,279.1584496,
167,275.5001447,
168,272.4135055,
169,269.5876993,
170,267.1145075,
171,265.1476626,
172,264.1008504,
173,262.6065267,
174,262.6489281,
175,262.3753525,
176,261.4625302,
177,259.9409807,
178,260.7311735,
179,260.3219063,
180,259.6401351,
181,260.35474,
182,260.4706898,
183,260.1518023,
184,260.3047253,
185,261.4454655,
186,261.0570117,
187,259.983733,
188,260.7138962,
189,261.3343922,
190,261.2832276,
191,259.3693685,
192,260.385614,
193,261.4207181,
194,261.1928376,
195,261.1024711,
196,262.8820066,
197,264.8381664,
198,265.7824201,
199,266.8768354,
200,269.7804875,
201,271.7495431,
202,273.6390491,
203,277.1708233,
204,280.637704,
205,282.80362,
206,286.0809382,
207,287.5291892,
208,291.1826704,
209,294.8105705,
210,299.1373405,
211,300.7320756,
212,304.9842158,
213,307.4401493,
214,310.6025932,
215,313.4361339,
216,315.2636639,
217,317.6645585,
218,319.2668321,
219,321.6860158,
220,325.1971445,
