"0_x","0_y"
0,383.5258679,
1,381.8554339,
2,381.7434512,
3,381.9437562,
4,381.8751724,
5,383.0479236,
6,381.6280445,
7,380.4376472,
8,381.0707336,
9,382.6074721,
10,382.1343628,
11,383.0819685,
12,382.4279851,
13,382.4416184,
14,383.2365791,
15,383.3404923,
16,384.0300135,
17,384.5245222,
18,383.4278111,
19,381.9888944,
20,382.6148799,
21,382.9088772,
22,383.0985807,
23,383.56325,
24,382.1796533,
25,382.9208551,
26,384.4492297,
27,386.5186069,
28,387.41481,
29,388.7787494,
30,389.2070688,
31,388.9185619,
32,389.7088264,
33,390.3380437,
34,390.539521,
35,391.3089803,
36,390.4797378,
37,388.5703436,
38,387.9346095,
39,387.1007396,
40,385.1826372,
41,384.1641424,
42,384.1773896,
43,382.2303382,
44,380.5750748,
45,381.1987136,
46,382.0606511,
47,382.5875107,
48,384.823126,
49,384.9294054,
50,383.8037159,
51,385.2992122,
52,386.2081847,
53,386.7982968,
54,387.5408111,
55,387.422618,
56,387.6047528,
57,389.3491384,
58,389.1688122,
59,390.5318634,
60,391.4602386,
61,390.5494793,
62,390.0121166,
63,390.3664231,
64,389.728941,
65,391.5644959,
66,391.8489559,
67,391.2955097,
68,390.1899613,
69,390.6162975,
70,390.8605564,
71,392.1615723,
72,394.1229313,
73,394.600261,
74,393.3300536,
75,394.3171423,
76,394.7604976,
77,395.9070112,
78,396.260309,
79,395.64652,
80,393.6965643,
81,394.0727214,
82,392.2993912,
83,391.1939444,
84,391.9237598,
85,391.9154694,
86,389.1847632,
87,387.241127,
88,387.4696618,
89,387.0247381,
90,387.8924763,
91,388.55076,
92,387.2768539,
93,386.8456884,
94,388.5564821,
95,389.4816568,
96,390.0671644,
97,390.7325138,
98,390.8437527,
99,391.3054729,
100,392.5979431,
101,393.9344498,
102,396.2213008,
103,397.5532366,
104,397.3763042,
105,397.6980543,
106,398.020409,
107,397.8017602,
108,396.235273,
109,395.2960097,
110,395.4025278,
111,395.4749398,
112,395.1238399,
113,394.1554751,
114,393.2399305,
115,391.9660686,
116,390.7850252,
117,390.1291617,
118,390.3345411,
119,389.2126765,
120,388.3865041,
121,388.904097,
122,390.4153011,
123,391.5542422,
124,392.0934913,
125,392.3017006,
126,392.3156461,
127,390.9513461,
128,391.3997104,
129,391.9065131,
130,392.0987264,
131,391.6282556,
132,390.7366039,
133,391.1620788,
134,391.3411135,
135,391.6181991,
136,392.6668416,
137,393.3288242,
138,393.0428376,
139,392.8275459,
140,393.2959256,
141,393.6004471,
142,394.5161456,
143,395.422642,
144,394.9798349,
145,395.9509043,
146,395.545746,
147,395.611293,
148,395.6169671,
149,396.9870787,
150,396.3323512,
151,393.9547014,
152,394.5550551,
153,395.1566754,
154,394.4474093,
155,395.275356,
156,395.239582,
157,393.4506068,
158,393.7813815,
159,395.5216325,
160,394.2040224,
161,394.7610896,
162,395.1920826,
163,394.3626365,
