"0_x","0_y"
0,160.2567765,
1,160.7800794,
2,161.4432264,
3,163.0450368,
4,164.1423429,
5,165.1883202,
6,166.0816832,
7,167.1384565,
8,168.120953,
9,169.3873755,
10,170.2364075,
11,170.771055,
12,172.1114267,
13,174.0017643,
14,175.3766026,
15,176.6264721,
16,178.5263285,
17,180.6130778,
18,181.9651472,
19,181.6715435,
20,183.4236041,
21,185.6488089,
22,187.2572915,
23,188.5099109,
24,189.7208374,
25,191.2490705,
26,194.1925278,
27,195.325424,
28,196.3694382,
29,197.6621818,
30,199.5747428,
31,201.0800945,
32,202.5970286,
33,203.4389942,
34,204.6176259,
35,207.1072957,
36,208.821614,
37,209.897206,
38,210.8813255,
39,212.6142034,
40,215.0938956,
41,216.8739086,
42,218.2675173,
43,219.6184136,
44,221.795455,
45,224.3392347,
46,225.6707912,
47,226.4655745,
48,227.7053135,
49,230.4761928,
50,232.16716,
51,233.4777745,
52,235.1166319,
53,237.9037698,
54,240.1183243,
55,241.6239,
56,242.0885938,
57,243.7524153,
58,246.7864541,
59,247.9182259,
60,249.2633923,
61,250.831506,
62,253.782479,
63,255.8323569,
64,256.628987,
65,257.3597573,
66,259.6232721,
67,261.8405504,
68,263.5524546,
69,264.2447178,
70,265.2242847,
71,268.4496586,
72,270.4704571,
73,271.6867516,
74,272.5754234,
75,273.0840334,
76,276.2617848,
77,278.5632903,
78,279.7862889,
79,280.791529,
80,283.660946,
81,286.5194455,
82,287.0511511,
83,288.9041548,
84,289.9374974,
85,292.3846025,
86,293.8510985,
87,295.5954534,
88,297.1699395,
89,298.1065509,
90,301.1779923,
91,302.9359297,
92,304.0234728,
93,305.407442,
94,307.3195868,
95,309.7929565,
96,310.7986263,
97,311.3010665,
98,312.2846526,
99,313.531373,
100,315.396553,
101,315.4620195,
102,316.0628584,
103,316.6920886,
104,318.5069272,
105,318.8964233,
106,319.6849479,
107,320.2399289,
108,320.6942579,
109,321.2695633,
110,321.8047747,
111,322.7728974,
112,323.0137153,
113,324.132712,
114,324.134519,
115,325.4060633,
116,326.2355784,
117,326.7196754,
118,327.2753579,
119,327.8374615,
120,328.7286575,
121,330.0746921,
122,330.7631798,
123,331.5792082,
124,331.9805284,
125,332.758623,
126,334.2246806,
127,335.5812148,
128,336.1492627,
129,336.9875116,
130,337.7170218,
131,339.3264773,
132,340.6731797,
133,342.0264916,
134,342.6532146,
135,343.7683035,
136,345.2075506,
137,346.3540684,
138,347.5112764,
139,348.3092324,
140,348.4364506,
141,349.7417584,
142,352.000924,
143,352.4830773,
144,354.398586,
145,353.8873524,
146,355.1169698,
147,356.7185448,
148,358.0204795,
149,358.4398719,
150,359.37373,
151,359.9687323,
152,360.6299709,
153,361.4588284,
154,363.3138002,
155,363.4170426,
156,363.4135575,
157,363.4675014,
158,363.960581,
159,364.1890195,
160,364.7149753,
161,365.7413659,
162,365.7807542,
163,366.8105014,
164,367.8456223,
165,367.9753841,
166,368.2635454,
167,369.4182957,
168,368.9642671,
169,369.3912973,
170,369.6620494,
171,370.2300404,
172,371.3040103,
173,372.3649487,
174,372.5430136,
175,372.7748339,
176,373.5903635,
177,373.6446309,
178,374.2381865,
179,374.1095874,
180,374.1272546,
181,374.0496439,
182,373.7322752,
183,373.8966346,
184,374.4167025,
185,374.2026993,
186,373.9687901,
187,374.2949756,
188,374.2971843,
189,373.8164318,
190,374.0457502,
191,373.8406998,
192,373.8485901,
193,373.3710447,
194,373.1811746,
195,372.8139707,
196,372.74694,
197,372.5616805,
198,372.6347879,
199,372.985132,
200,373.5522303,
201,373.844871,
202,373.8793853,
203,374.1346368,
204,374.5663976,
205,374.6229348,
206,375.0645064,
207,375.3940382,
208,375.2069905,
209,375.6612086,
210,375.6313054,
211,375.7653542,
212,376.5868038,
213,377.282723,
214,377.7080518,
215,377.8699107,
216,378.3529432,
217,378.820063,
218,378.8394271,
219,378.894402,
220,378.9742575,
221,378.8002744,
222,378.7829733,
223,378.8908252,
224,378.5028026,
225,378.6918714,
226,378.5052935,
227,378.8883243,
228,379.0906772,
229,378.2498847,
230,377.7953068,
231,377.5573005,
232,376.8593692,
233,376.2623138,
234,376.3353581,
235,376.0032215,
236,375.273595,
237,375.343105,
238,374.8401792,
239,374.3773446,
240,373.7982527,
241,373.732616,
242,373.0506206,
243,372.9774296,
244,372.3946867,
245,372.1721764,
246,371.7111219,
247,370.7654695,
248,370.011293,
249,369.6419011,
250,370.3136797,
251,370.509463,
252,370.456399,
253,370.3508399,
254,370.3251746,
255,370.4720096,
256,370.6410436,
257,370.3135519,
258,369.8679492,
259,369.6914748,
260,370.5614048,
261,370.8127014,
262,370.8337635,
263,370.9640391,
264,370.8866675,
265,371.3039722,
266,371.4079405,
267,371.4187595,
268,371.3286029,
269,371.9119321,
270,372.2182301,
271,372.6602944,
272,372.6879107,
273,372.6730504,
274,372.5738775,
275,372.5746358,
276,372.9040539,
277,373.6283288,
278,374.0022071,
279,373.9343125,
280,373.6270396,
281,373.7023197,
282,373.2615584,
283,373.0486184,
284,372.9576426,
285,372.9056014,
286,372.5898193,
287,371.8989369,
288,371.5529525,
289,371.3805615,
290,371.3362712,
291,371.1959314,
292,370.7935895,
293,370.4277302,
294,370.3247898,
295,369.9869572,
296,369.4858749,
297,369.2963622,
298,369.3934659,
299,369.009812,
300,369.0250011,
301,368.6561993,
302,367.8966414,
303,367.2932666,
304,366.7967724,
305,366.6888473,
306,365.9082356,
307,365.2720133,
308,365.1769793,
309,364.8634192,
310,364.5519209,
311,364.4782131,
312,364.7638216,
313,364.7335636,
314,364.2751123,
315,363.7988836,
316,363.3417482,
317,363.0403639,
318,363.1793612,
319,363.4274598,
320,363.527421,
321,363.2941392,
322,362.8605856,
323,362.3776123,
324,362.3721804,
325,362.6363147,
326,362.5096052,
327,362.3519318,
328,361.8706726,
329,361.6873422,
330,361.1924281,
331,360.9462459,
332,361.3695257,
333,361.7938866,
334,361.7467828,
335,361.7873416,
336,361.8329942,
337,362.1803831,
338,362.1890945,
339,362.6188425,
340,362.8161526,
341,362.4513526,
342,362.2746252,
343,362.3899427,
344,363.0122427,
345,363.2742239,
346,363.2526441,
347,363.0267415,
348,362.6244597,
349,362.3011448,
350,362.2670507,
351,361.8913163,
352,361.7612293,
353,361.4204189,
354,360.6892754,
355,359.9049609,
356,360.0769643,
357,360.2004631,
358,359.6236157,
359,358.8808171,
360,357.2691156,
361,356.7041342,
362,356.3349093,
363,355.676046,
364,355.440199,
365,354.3468481,
366,352.6599692,
367,351.3526728,
368,349.5566093,
369,348.7020372,
370,348.0355701,
371,347.3041199,
372,345.8938045,
373,344.5749481,
374,343.6518701,
375,342.6575279,
376,342.4159728,
377,341.8051285,
378,340.5932577,
379,339.7616221,
380,339.4453682,
381,339.0351025,
382,337.5176995,
383,337.3525692,
384,336.9909481,
385,336.0133525,
386,335.6483968,
387,335.0274696,
388,333.8860366,
389,333.2509971,
390,332.8365436,
391,331.7846859,
392,330.6799028,
393,329.6148609,
394,328.6543095,
395,328.2507598,
396,327.7041823,
397,326.1891197,
398,325.0796895,
399,323.9838972,
400,323.7160312,
401,323.2199934,
402,322.2098459,
403,320.7346139,
404,319.7703473,
405,318.8042739,
406,318.3663766,
407,317.278659,
408,317.056376,
409,315.5848719,
410,313.2603966,
411,312.4260849,
412,313.0497023,
413,311.7473728,
414,310.8381731,
415,310.8783964,
416,311.2402286,
417,311.2057648,
418,311.2800864,
419,311.3534683,
420,313.1092653,
421,312.3026571,
422,311.8268572,
423,311.9992426,
424,311.3822656,
425,311.3965209,
426,311.3025621,
427,311.02412,
428,311.0648164,
429,311.1362391,
430,311.2201873,
431,311.1625878,
432,310.9726698,
433,310.8807868,
434,311.1540714,
435,311.2349955,
436,311.2744061,
437,311.3742139,
438,311.19792,
439,311.2364232,
440,311.1978521,
441,310.984803,
442,310.8753638,
443,310.8864695,
444,310.7967467,
445,310.7420518,
446,310.7172257,
447,310.6545146,
448,310.7952414,
449,310.9841193,
450,310.9006046,
451,310.9087014,
452,310.94302,
453,310.7729961,
454,310.7982485,
455,310.7182257,
456,310.6858036,
457,310.6352265,
458,310.5327601,
459,310.7192192,
460,310.6498388,
461,310.4494292,
462,310.4049887,
463,310.5110055,
464,310.5643153,
465,310.4064771,
466,310.5120964,
467,310.297948,
468,310.6382438,
469,310.5469986,
470,310.5615746,
471,310.8096877,
472,310.8133593,
473,310.7489164,
474,310.6781241,
475,310.5486855,
476,310.462987,
477,310.474777,
478,310.449799,
479,310.4945946,
480,310.5007906,
481,310.5384045,
482,310.8833288,
483,310.6631783,
484,310.6772945,
485,310.791634,
486,310.8460275,
487,310.8511105,
488,310.7242071,
489,310.7414261,
490,310.6010706,
491,310.5716416,
492,310.824149,
493,310.7801478,
494,310.7666251,
495,310.6010802,
496,310.8544428,
497,310.7632468,
498,310.892077,
499,310.925596,
500,310.8094286,
501,310.8556076,
502,310.6510734,
503,310.5959613,
504,310.7155945,
505,310.7252585,
506,310.5676751,
507,310.5569722,
508,310.519676,
509,310.5083075,
510,310.6556241,
511,310.6940784,
512,310.506842,
513,310.5457918,
514,310.4049532,
515,310.5478057,
516,310.6777616,
517,310.870291,
518,310.8001283,
519,310.7555342,
520,310.7959076,
521,310.8483417,
522,311.0561684,
523,310.8728235,
524,310.9997479,
525,311.3489249,
526,311.1999393,
527,311.1059258,
528,311.2349074,
529,311.1179967,
530,311.3967651,
531,311.1094057,
532,311.1976163,
533,310.9481815,
534,311.6080023,
535,311.5953597,
536,311.5244222,
537,311.6778619,
538,311.6123996,
539,311.8589881,
540,312.6467666,
541,312.2794,
542,312.1528485,
543,312.1448968,
544,312.1470816,
545,312.2690643,
546,312.3784501,
547,312.0727698,
548,312.1485965,
549,312.5233374,
550,312.7920257,
551,312.5808514,
552,312.941116,
553,312.9032988,
554,312.8449575,
555,312.8698372,
556,312.6618215,
557,312.8961834,
558,312.9248395,
559,312.9794145,
560,312.9302432,
561,312.8632069,
562,313.0590304,
563,312.9941628,
564,312.9734628,
565,313.0188209,
566,312.721677,
567,312.7032039,
568,311.8716258,
569,311.6552033,
570,311.1576625,
571,310.8067375,
572,310.4415609,
573,310.2976956,
574,310.2768091,
575,310.2938573,
576,310.1138484,
577,309.8812101,
578,309.8575029,
579,309.8258162,
580,309.8739682,
581,310.0724101,
582,310.3138937,
583,310.7432519,
584,310.7496553,
585,310.8312819,
586,311.2962769,
587,311.2754297,
588,311.3973913,
589,311.1880265,
590,311.0721825,
591,311.1833902,
592,311.2808833,
593,311.0793588,
594,311.3042963,
595,310.5706378,
596,310.2915235,
597,309.9056389,
598,310.0472005,
599,309.5748145,
600,310.6728453,
601,310.210633,
602,309.9768351,
603,309.1222369,
604,309.1770604,
605,308.5749286,
606,307.8473041,
607,307.6448742,
608,307.3539907,
609,307.012819,
610,306.7157505,
611,306.3022639,
612,305.9653743,
613,305.816296,
614,305.6311756,
615,305.1152936,
616,304.4807469,
617,304.1859036,
618,304.3231171,
619,304.366094,
620,304.4065518,
621,304.5292453,
622,304.6145091,
623,304.5318398,
624,304.4823743,
625,304.7565811,
626,305.2300318,
627,304.5127045,
628,304.705674,
629,304.8309375,
630,304.5057531,
631,304.0168021,
