"0_x","0_y"
0,385.2067004,
1,385.2923369,
2,385.3156533,
3,384.4874306,
4,383.9909911,
5,385.2836266,
6,385.6074405,
7,386.4587928,
8,387.0445841,
9,389.0658232,
10,389.0810237,
11,388.893894,
12,388.6868411,
13,387.8462855,
14,388.3386312,
15,387.3886414,
16,388.0333081,
17,388.4863959,
18,391.2068683,
19,391.1282549,
20,391.6051725,
21,392.2158851,
22,393.6390571,
23,392.560057,
24,392.2094151,
25,391.7689085,
26,390.8743777,
27,390.2901304,
28,389.438936,
29,387.1370111,
30,386.2541681,
31,385.2659989,
32,383.7849306,
33,383.0497745,
34,382.2393147,
35,382.6780175,
36,382.9581343,
37,382.8990467,
38,384.0179889,
39,385.760407,
40,386.1668495,
41,386.8213768,
42,389.5285524,
43,390.1575666,
44,391.4630225,
45,391.9805267,
46,394.9630461,
47,394.9362088,
48,396.3928339,
49,396.4313134,
50,396.3617826,
51,394.8049993,
52,393.9900276,
53,392.7936818,
54,391.2329658,
55,389.8107405,
56,388.3962009,
57,387.2030754,
58,385.0839577,
59,382.2469024,
60,381.196746,
61,379.6277806,
62,376.9933884,
63,374.4236866,
64,373.2334995,
65,371.7165301,
66,370.7764127,
67,369.8880563,
68,370.5609272,
69,369.0196411,
70,367.9486019,
71,366.4541302,
72,363.5393204,
73,360.7899604,
74,359.2093352,
75,357.5586879,
76,354.1090126,
77,352.4674777,
78,349.9816749,
79,348.8373731,
80,345.5804456,
81,344.1015715,
82,342.6188926,
83,340.6353494,
84,338.4783059,
85,338.5933573,
86,337.386998,
87,333.9733883,
88,333.1362116,
89,332.6476746,
90,330.8946638,
91,329.114717,
92,328.9139206,
93,328.2707151,
94,327.7623333,
95,326.7181659,
96,326.2182393,
97,323.8165465,
98,322.7633177,
99,323.0401242,
100,321.4465417,
101,319.8503624,
102,320.4821238,
103,319.5282314,
104,318.9223682,
105,317.8394853,
106,317.8906948,
107,317.0579734,
108,315.4420794,
109,315.2936278,
110,314.4189694,
111,313.7508999,
112,313.6748386,
113,314.1870145,
114,314.3706826,
115,313.0571456,
116,316.4714105,
117,315.7635839,
118,316.8385973,
119,319.4854536,
120,320.2238858,
121,322.158278,
122,323.1749999,
123,325.925978,
124,326.49815,
125,328.860745,
126,331.9409071,
127,333.8569887,
128,336.8745293,
129,339.0186255,
130,343.4236546,
131,346.1883483,
132,348.2725636,
133,353.9247221,
134,355.913323,
135,358.8255554,
136,364.300213,
137,365.3538679,
138,369.309057,
139,372.2814473,
140,376.3285164,
141,380.5412197,
142,382.9560733,
143,388.7207049,
144,390.6503723,
145,394.0557961,
146,397.9586974,
147,400.1411232,
148,401.2648894,
149,401.4120611,
150,401.3810688,
151,401.8434799,
152,401.0852192,
153,401.5015132,
154,400.5236458,
155,400.0853988,
156,399.3350852,
157,398.1257808,
158,397.0779739,
159,396.7990305,
160,396.74733,
161,395.8490367,
162,393.4276327,
163,393.7132039,
164,393.1091634,
165,392.1687117,
166,391.9842478,
167,390.6792909,
168,389.2212135,
169,387.8729968,
170,387.2637886,
171,386.4191344,
172,385.3306409,
173,385.0610239,
174,383.3838847,
175,381.2009613,
176,380.8564023,
177,380.3307416,
178,379.3297072,
179,377.8868237,
180,378.0456959,
181,376.940616,
182,375.2354963,
183,375.5938085,
184,374.6861093,
185,372.5178617,
186,370.8349979,
187,368.7270218,
188,366.3076572,
189,365.2391789,
190,363.0009194,
191,361.4616962,
192,358.0971278,
193,358.3159723,
194,357.2014442,
195,356.0234868,
196,356.8303523,
197,356.5161502,
198,356.1983653,
199,355.7292544,
200,356.7602338,
201,357.4137409,
202,357.1616816,
203,359.6846097,
204,359.0566634,
205,359.3790225,
206,359.8846106,
207,363.4472605,
208,364.3721385,
209,365.1216133,
210,366.0223943,
211,366.3929649,
212,366.5166763,
213,367.2467062,
214,368.5620612,
215,368.2146301,
216,368.214521,
217,369.6498877,
218,369.4506897,
219,369.1552682,
220,370.3644461,
221,371.5600842,
222,371.4315405,
223,371.1872882,
224,373.7052564,
225,375.6306211,
226,376.0394159,
227,378.8227637,
228,379.9732056,
229,382.407994,
230,383.5271407,
231,385.5434454,
232,385.4629162,
233,386.1180523,
234,387.6220452,
235,387.3966709,
236,387.1357507,
237,386.8153557,
238,386.5120996,
239,384.8778388,
240,384.0455481,
241,384.2800674,
242,382.7101731,
243,381.6284107,
244,382.6581205,
245,379.9974518,
246,379.5716566,
247,378.9919192,
248,377.6256416,
249,376.3796629,
250,374.0712658,
251,370.4117629,
252,368.2994254,
253,366.6622078,
254,363.1430521,
255,361.2168938,
256,358.1395712,
257,355.7062729,
258,353.7117992,
259,352.2333542,
260,350.5200922,
261,348.3376036,
