"0_x","0_y"
0,375.7303181,
1,375.3657632,
2,374.9197715,
3,374.3234704,
4,374.6647976,
5,373.6910267,
6,373.0856091,
7,372.5213774,
8,372.4834552,
9,371.5653094,
10,372.0005377,
11,372.4862127,
12,373.7474155,
13,373.8831272,
14,373.8439161,
15,375.3271036,
16,376.9849226,
17,377.8311905,
18,378.476946,
19,380.1944979,
20,380.0560961,
21,379.6728443,
22,380.7970024,
23,381.0942138,
24,380.3072276,
25,378.4603271,
26,377.3142263,
27,376.5006776,
28,375.727462,
29,375.3106111,
30,375.6316429,
31,373.0752466,
32,373.08991,
33,373.215791,
34,372.6592225,
35,372.7344149,
36,372.9167874,
37,373.4641962,
38,375.4049549,
39,377.0302626,
40,377.1819769,
41,377.5836768,
42,378.9962933,
43,379.4226657,
44,380.1190569,
45,380.5735166,
46,381.5418439,
47,382.4922623,
48,381.658494,
49,381.383479,
50,381.9708364,
51,382.6175519,
52,382.9141864,
53,382.8716602,
54,381.8423915,
55,380.7875996,
56,379.936619,
57,378.9473729,
58,377.3472979,
59,376.2740598,
60,375.2092463,
61,374.0967038,
62,373.3820369,
63,373.362694,
64,373.7336695,
65,374.4219748,
66,374.0096612,
67,374.6676936,
68,374.2272158,
69,374.9191348,
70,375.9418658,
71,377.0412185,
72,378.4867523,
73,379.7179302,
74,380.4190399,
75,379.526724,
76,380.2107523,
77,382.4039467,
78,382.9608833,
79,382.1808497,
80,380.6621939,
81,380.0527035,
82,378.506267,
83,377.4374107,
84,376.8018254,
85,376.2962122,
86,375.4181575,
87,373.5041259,
88,372.2363455,
89,371.7068784,
90,370.6053197,
91,369.1941885,
92,367.5715998,
93,366.4097943,
94,366.5582336,
95,365.6492541,
96,364.9176324,
97,363.8832339,
98,363.4264967,
99,362.9085197,
100,363.690237,
101,363.5357344,
102,363.4934894,
103,362.5308757,
104,363.182337,
105,363.5648463,
106,364.5840108,
107,366.2237706,
108,366.8431156,
109,368.5838849,
110,371.0138224,
111,371.778995,
112,372.5767936,
113,373.242988,
114,373.7658184,
115,374.3841529,
116,376.015448,
117,375.6230427,
118,375.1110789,
119,374.904367,
120,374.3399855,
121,373.3454769,
122,372.1973692,
123,371.2996271,
124,370.5362122,
125,369.9997854,
126,369.7109644,
127,370.0875166,
128,370.7493078,
129,371.7845753,
130,373.0033238,
131,374.3606766,
132,374.4840404,
133,372.9538945,
134,372.1573774,
135,373.2133488,
136,373.5612642,
137,373.1206633,
138,372.8295704,
139,372.4141532,
140,373.5769066,
141,373.0580192,
142,373.7467234,
143,374.0125722,
144,374.3530802,
145,374.9137548,
146,376.2628776,
147,376.2941319,
148,375.7093639,
149,374.0000955,
150,372.7020169,
151,372.2779322,
152,371.7722125,
153,372.0128719,
154,371.6758374,
155,369.1768992,
156,368.0118295,
157,365.7762965,
158,364.1958153,
159,363.2086329,
160,363.2164209,
161,361.1534761,
162,360.8491765,
163,360.7954044,
164,360.8688259,
165,362.3544298,
166,361.7518219,
167,360.8475903,
168,362.0108118,
169,363.6534631,
170,365.9049045,
171,368.3830002,
172,369.0487737,
