"0_x","0_y"
0,151.6401668,
1,149.8642532,
2,148.6366209,
3,147.0623616,
4,145.4385788,
5,142.337772,
6,141.0082277,
7,137.5085991,
8,134.0368312,
9,132.7123563,
10,130.9724205,
11,128.9953528,
12,126.4534356,
13,125.420671,
14,122.5192548,
15,118.5144892,
16,115.5160936,
17,114.2801139,
18,112.6039835,
19,109.8070638,
20,108.3970451,
21,104.4235421,
22,100.938594,
23,97.60785406,
24,95.85008117,
25,93.95911007,
26,91.88540958,
27,90.0449976,
28,87.97122113,
29,85.29055475,
30,82.27158138,
31,79.43026205,
32,77.67265402,
33,75.62087203,
34,73.58126284,
35,71.11569572,
36,68.68213346,
37,65.94591307,
38,62.0084335,
39,59.28672309,
40,56.54996718,
41,54.62406328,
42,52.08808286,
43,49.76719581,
44,47.24672266,
45,43.48019747,
46,40.46624184,
47,39.87275716,
48,38.35870558,
49,35.99402396,
50,35.02886157,
51,33.93765335,
52,31.96351262,
53,30.98313813,
54,29.71490614,
55,28.75285347,
56,28.36410076,
57,27.39014474,
58,27.20440703,
59,27.15774417,
60,28.26405877,
61,29.31426774,
62,29.99434688,
63,31.62852189,
64,33.26095929,
65,35.70429174,
66,38.40635552,
67,41.20457383,
68,42.59277924,
69,44.25983268,
70,46.66281633,
71,49.95022554,
72,51.56480623,
73,54.95581232,
74,58.39894932,
75,60.86632946,
76,62.87204487,
77,65.27892899,
78,67.80721571,
79,69.7202638,
80,70.37111918,
81,73.0239994,
82,75.21717477,
83,77.86140149,
84,80.00498457,
85,83.04922619,
86,84.87177154,
87,86.2133894,
88,89.4560473,
89,93.84749817,
90,96.70251726,
91,98.04685229,
92,99.69871843,
93,102.5404083,
94,105.3952343,
95,107.2342723,
96,111.1972188,
97,114.0295219,
98,117.7536593,
99,119.6062146,
100,121.820513,
101,124.5976249,
102,126.1536074,
103,128.2737106,
104,132.0022811,
105,135.9766879,
106,137.5405936,
107,139.2462262,
108,141.7742193,
109,143.9807049,
110,145.7224212,
111,148.7154884,
112,152.4117609,
113,156.3074137,
114,158.277281,
115,159.9327502,
116,161.3602043,
117,163.9429626,
118,165.6314797,
119,167.8144946,
120,170.3547226,
121,173.3248808,
122,175.8469739,
123,178.0209208,
124,180.8121581,
125,182.8742353,
126,183.8645128,
127,187.2039757,
128,190.7556067,
129,194.4504113,
130,195.5810488,
131,197.6457943,
132,199.628601,
133,201.3415818,
134,203.4977727,
135,205.8863767,
136,208.4711242,
137,210.6695908,
138,211.4134229,
139,212.9172959,
140,214.0018256,
141,214.3046255,
142,214.0488498,
143,214.4522148,
144,215.3668742,
145,216.1238849,
146,216.6932608,
147,217.1140366,
148,217.1996857,
149,217.2282321,
150,217.7704878,
151,218.0381011,
152,218.4957691,
153,218.7924231,
154,219.2526937,
155,219.376265,
156,219.3633178,
157,218.2887723,
158,213.6649518,
159,212.5331968,
160,210.6025001,
161,209.0611527,
162,208.5847634,
163,207.3029432,
164,207.9394484,
165,208.461063,
166,209.0714416,
167,209.2211943,
168,210.3622845,
169,209.7205456,
170,209.9158186,
171,212.1009463,
172,213.9305956,
173,215.109133,
174,217.3419936,
175,218.4410125,
176,219.6591307,
177,221.7919035,
178,223.011299,
179,224.2399967,
180,226.4005088,
181,229.5442105,
182,232.4570876,
183,233.2323551,
184,234.1792476,
185,236.6674158,
186,237.965951,
187,240.7913684,
188,244.2090267,
189,247.7542822,
190,249.2570869,
191,251.0938356,
192,253.7302384,
193,255.9993156,
194,257.5809466,
195,259.208033,
196,260.7362894,
197,261.9566364,
198,263.4997949,
199,264.725884,
200,264.7985308,
201,264.7147357,
202,264.1795974,
203,263.682128,
204,263.3414859,
205,263.1181164,
206,262.4246535,
207,261.6725799,
208,260.4558744,
209,259.640947,
210,257.9824585,
211,256.4144991,
212,255.4706842,
213,253.1570342,
214,251.5956374,
215,248.7538728,
216,247.4949077,
217,245.5027055,
218,243.9315109,
219,241.3778761,
220,238.7682329,
221,237.2375302,
222,235.1904356,
223,232.9687228,
224,231.3374339,
225,229.983261,
226,228.8304141,
227,226.0195828,
228,221.3097824,
229,220.6729036,
230,219.2764668,
231,218.6816115,
232,218.3580571,
233,216.8730768,
234,215.2439463,
235,215.3197809,
