,name,width,height,length,fps,frame,scale,center_x,center_y,bodyLength0
0,zn444-2,1296.0,972.0,110668.0,25.0,0,811.8035476640885,639,510,62.297672508690084
1,zn444-9,1296.0,972.0,110703.0,25.0,0,808.299449461646,589,501,58.69412236331676
2,zn444-4,1296.0,972.0,100048.0,25.0,3000,820.2542288827287,581,541,61.26989472816156
3,zn444-5,1296.0,972.0,110643.0,25.0,0,814.552637955338,609,496,62.00806399170998
4,zn444-7,1296.0,972.0,110636.0,25.0,0,817.5506100542033,614,526,61.61168720299745
5,zn445-2,1296.0,972.0,117746.0,25.0,3000,818.6971356979332,610,510,68.0294054067798
6,zn445-8,1296.0,972.0,117898.0,25.0,0,815.855992194701,594,503,64.13267497929586
7,zn445-4,1296.0,972.0,100022.0,25.0,0,828.3344735069282,605,506,63.60031446463138
8,zn445-5,1296.0,972.0,117875.0,25.0,0,807.0619554904072,558,490,62.433965115151864
9,zn445-7,1296.0,972.0,117897.0,25.0,0,815.6678245462426,611,529,68.41052550594829
10,zn447-4,1296.0,972.0,100055.0,25.0,0,828.893841212492,585,529,69.6419413859206
11,zn447-5,1296.0,972.0,115667.0,25.0,0,818.3520025025906,561,519,74.72616676907762
12,zn447-7,1296.0,972.0,115735.0,25.0,0,813.4912415017141,608,547,63.655321851358195
13,zn447-8,1296.0,972.0,115748.0,25.0,0,819.4662897276495,582,542,72.78049189171504
14,zn447-9,1296.0,972.0,115766.0,25.0,0,826.6994617150782,593,537,68.41052550594829
15,zna-2,1296.0,972.0,102535.0,25.0,0,814.061422744009,616,489,63.41135544995076
16,zna-3,1296.0,972.0,102534.0,25.0,0,815.7088941528099,580,472,66.73080248281148
17,zna-4,1296.0,972.0,100053.0,25.0,0,825.136352368504,571,523,61.18823416311342
18,zna-5,1296.0,972.0,102499.0,25.0,0,822.0298048124532,561,517,66.73080248281148
19,zna-7,1296.0,972.0,102095.0,25.0,0,807.5097522630919,600,544,64.03124237432849
20,zn448-2,1296.0,972.0,105794.0,25.0,0,818.0097798926367,610,513,57.87054518492115
21,zn448-3,1296.0,972.0,135042.0,25.0,0,812.1040573719602,593,483,61.84658438426491
22,zn448-4,1296.0,972.0,100054.0,25.0,0,824.5101576087465,609,546,66.18912297349165
23,zn448-5,1296.0,972.0,135186.0,25.0,0,816.0153184836666,562,499,58.18934610390462
24,zn448-7,1296.0,972.0,135190.0,25.0,0,814.2444350439247,618,526,59.21148537234985
